"Question Number","Subject","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation (Why Correct)","Why Other Options Are Wrong"
"60","Use of English","Basic Grammar & Concord","Choose the CORRECT option: 'Maths _____ my favourite subject in secondary school.'","are","were","was","have been","C","Subject names ending in -ics (Mathematics, Physics, Economics, etc.) are treated as singular. 'Maths was' is correct. This is a heavily repeated JAMB trap.","A: 'Are' is plural — -ics subjects are always singular. B: 'Were' is plural past — incorrect. D: 'Have been' is plural — incorrect."
"61","Use of English","Basic Grammar & Concord","Choose the CORRECT option: 'The number of students who passed _____ remarkable.'","are","were","was","have been","C","'The number' (unlike 'a number') is always singular. 'The number of students was remarkable' is correct. 'A number of students were remarkable' would use the plural.","A: 'Are' is plural — incorrect for 'the number'. B: 'Were' is plural past — incorrect. D: 'Have been' is plural — incorrect."
"62","Use of English","Basic Grammar & Concord (Subjunctive)","Identify the CORRECT sentence:","If I was you, I would apply for the scholarship.","If I were you, I would apply for the scholarship.","If I am you, I will apply for the scholarship.","If I be you, I would apply for the scholarship.","B","In contrary-to-fact conditional clauses (unreal conditions), the subjunctive 'were' is used regardless of the subject. 'If I were you' is the grammatically correct form. JAMB tests this regularly.","A: 'Was' is indicative — incorrect in this unreal/subjunctive condition. C: 'If I am' implies a real condition, which doesn't fit the unreal context. D: 'If I be' is archaic and grammatically incorrect in modern standard English."
"63","Use of English","Basic Grammar & Concord (Question Tags)","Choose the option that CORRECTLY fills the gap: 'She arrived just in time, _____ she?'","did not","didn't","isn't","wasn't","B","Question tags use the auxiliary from the main clause in the opposite polarity. 'Arrived' uses the simple past tense; the auxiliary is 'did'. Positive statement → negative tag: 'didn't she?'","A: 'Did not' is the full form — JAMB prefers the contracted form 'didn't' in such tags. C: 'Isn't' is for present tense statements with 'is'. D: 'Wasn't' is for statements using 'was'."
"64","Use of English","Basic Grammar & Concord (Semi-modals)","Choose the option that CORRECTLY fills the gap: 'You had better _____ the doctor immediately.'","to see","seeing","see","seen","C","'Had better' is a semi-modal expression that takes a bare infinitive (infinitive without 'to'). 'You had better see' is correct. JAMB tests this construction frequently.","A: 'To see' incorrectly adds 'to' after 'had better'. B: 'Seeing' (gerund/present participle) cannot follow 'had better'. D: 'Seen' is a past participle — incorrect here."
"65","Use of English","Basic Grammar & Concord (Subjunctive)","Choose the option that CORRECTLY fills the gap: 'I wish I _____ more time to study.'","have","had","will have","could have","B","'I wish' in present/future unreal context requires the past tense subjunctive. 'I wish I had more time' expresses a current unfulfilled desire.","A: 'Have' is indicative present — 'I wish I have' is grammatically incorrect. C: 'Will have' is used for future real conditions, not with 'I wish'. D: 'Could have' is used for past wishes: 'I wish I could have...' not a current wish."
"66","Use of English","Basic Grammar & Concord","Identify the sentence that is GRAMMATICALLY CORRECT:","Neither Ade nor Bisi are going to the market.","Neither Ade nor Bisi is going to the market.","Neither Ade nor Bisi were going to the market.","Neither Ade nor Bisi go to the market.","B","With 'neither...nor' where both subjects are singular, the verb is singular. 'Neither Ade nor Bisi is going' is correct.","A: 'Are' is plural — incorrect for two singular subjects with 'neither...nor'. C: 'Were' is plural past — incorrect. D: 'Go' lacks the tense marker and context requires the present progressive."
"67","Use of English","Basic Grammar & Concord (Relative Pronouns)","Choose the CORRECT sentence involving relative pronouns:","The man which gave me the money is here.","The man who gave me the money is here.","The man whom gave me the money is here.","The man whose gave me the money is here.","B","'Who' is the correct subject relative pronoun for people. 'Which' is for things, 'whom' is the object form, and 'whose' is the possessive form.","A: 'Which' is used for things/animals, not people. C: 'Whom' is the object form — incorrect as subject of 'gave'. D: 'Whose' is possessive — grammatically wrong here."
"68","Use of English","Basic Grammar & Concord","Choose the option that CORRECTLY completes the sentence: 'The wounded soldier, together with his colleagues, _____ to the hospital.'","were taken","have been taken","was taken","are taken","C","'Together with' (like 'as well as', 'along with') is a non-coordinating expression. The verb agrees with the main subject 'the wounded soldier' (singular), giving 'was taken'.","A: 'Were taken' would require a plural subject — 'soldier' is singular. B: 'Have been taken' is plural perfect — incorrect for singular subject. D: 'Are taken' is plural present — incorrect."
"69","Use of English","Basic Grammar & Concord (Reported Speech)","Choose the CORRECT sentence:","He told me that he will come the next day.","He told me that he shall come the next day.","He told me that he would come the next day.","He told me that he came the next day.","C","In reported speech after a past tense reporting verb ('told'), the future tense 'will' shifts to 'would'. 'He told me that he would come the next day' is correct.","A: 'Will' is direct speech form — incorrect in reported speech after 'told' (past tense). B: 'Shall' shifts to 'should' in reported speech — 'shall' is direct speech. D: 'Came' implies the action already happened in the past, changing the meaning."
"70","Use of English","Basic Grammar & Concord (Subjunctive)","Identify the sentence with CORRECT use of the subjunctive mood:","The committee suggested that he should resigns immediately.","The committee suggested that he resign immediately.","The committee suggested that he resigns immediately.","The committee suggested that he is to resign immediately.","B","After verbs of suggestion, recommendation, demand ('suggest', 'recommend', 'insist', 'demand'), the subjunctive mood uses the base form of the verb without inflection. 'That he resign' is the subjunctive base form.","A: 'Should resigns' incorrectly inflects the verb after 'should'. C: 'Resigns' is the indicative third person — the subjunctive does not inflect. D: 'Is to resign' is an infinitive construction, not the subjunctive."
"71","Use of English","Basic Grammar & Concord (Tense Sequencing)","Choose the option that CORRECTLY fills the gap: 'By the time the guests arrived, we _____ the food.'","prepared","have prepared","had prepared","were preparing","C","'By the time' followed by a past tense event ('arrived') requires the past perfect ('had prepared') in the other clause to show that the preparation was completed BEFORE the arrival.","A: Simple past 'prepared' doesn't show sequence clearly enough. B: 'Have prepared' is present perfect — incompatible with past tense 'arrived'. D: 'Were preparing' is past progressive — it shows an ongoing action, not completion before arrival."
"72","Use of English","Basic Grammar & Concord (Conditionals)","'Unless you study hard, you will not pass.' This sentence can BEST be rewritten as _____.","If you study hard, you will pass","If you do not study hard, you will not pass","When you study hard, you will pass","Although you study hard, you will not pass","B","'Unless' means 'if not'. 'Unless you study hard' = 'If you do not study hard'. The full sentence therefore becomes 'If you do not study hard, you will not pass'.","A: This transforms it to a positive conditional, changing the meaning. C: 'When' implies the condition will certainly happen — different from 'unless'. D: 'Although' introduces concession, not condition — different meaning."
"73","Use of English","Mechanics & Punctuation","Identify the CORRECTLY punctuated sentence:","The students who study hard pass their examinations.","The students, who study hard, pass their examinations.","The students who, study hard pass their examinations.","The students who study hard, pass their examinations.","A","Without commas, the relative clause 'who study hard' is restrictive (defining) — it specifies WHICH students pass. No commas are used for restrictive clauses. With commas (option B), it becomes non-restrictive, implying ALL students study hard.","B: Commas make it non-restrictive, changing the meaning (implying all students study hard). C: The comma placement is arbitrary and grammatically incorrect. D: A comma after 'hard' and before 'pass' incorrectly splits subject from verb."
"74","Use of English","Basic Grammar & Concord (Infinitives)","Choose the CORRECT use of the infinitive: 'I want her _____.'","to come immediately","coming immediately","come immediately","that she come immediately","A","After verbs of wanting/wishing with an object (want + object), the to-infinitive is required: 'I want her to come'. This is a standard English construction tested by JAMB.","B: 'Coming' (gerund/participle) is incorrect here. C: Bare infinitive 'come' follows certain verbs (let, make, see, hear) but not 'want'. D: A that-clause can follow 'want' but requires 'want + that + subject + should/base form' — this construction is non-standard in modern usage."
"75","Use of English","Basic Grammar & Concord (Indirect Questions)","Choose the option that has the CORRECT word order for an indirect question: 'Can you tell me where _____?'","does the principal live","the principal lives","lives the principal","is the principal living","B","Indirect (embedded) questions use statement word order (subject + verb), NOT question word order (auxiliary + subject). 'where the principal lives' is correct.","A: 'Does the principal live' is direct question order — incorrect in indirect questions. C: Inversion 'lives the principal' is also incorrect in indirect questions. D: 'Is the principal living' uses question inversion — incorrect in indirect questions."
"76","Use of English","Basic Grammar & Concord (Tense & Aspect)","Choose the CORRECT sentence:","She has been knowing him for ten years.","She knows him for ten years.","She has known him for ten years.","She knew him since ten years.","C","The present perfect 'has known' is correct for an action/state that began in the past and continues to the present, used with 'for' (duration). 'Know' is a stative verb and cannot be used in the progressive.","A: 'Been knowing' incorrectly uses progressive with the stative verb 'know'. B: 'Knows...for ten years' is incorrect — present simple without present perfect. D: 'Knew...since' mixes past simple with 'since' (which requires perfect tenses)."
"77","Use of English","Basic Grammar & Concord (Comparatives)","Choose the CORRECT comparative form: 'This is _____ of the two proposals.'","the better","the best","the more good","the more better","A","When comparing exactly TWO items, use the comparative form ('better'), not the superlative ('best'). 'The better of the two' is correct.","B: 'Best' is a superlative used for three or more items. C: 'More good' is incorrect; 'good' has an irregular comparative: 'better'. D: 'More better' is a double comparative — grammatically incorrect."
"78","Use of English","Word Classes & Functions","Choose the option that correctly identifies the GRAMMATICAL FUNCTION of the underlined word: 'SWIMMING is a very healthy exercise.'","present participle","gerund (verbal noun)","verb in progressive form","adjective","B","'Swimming' here is the subject of the sentence and functions as a noun. When -ing forms act as nouns (subject or object of a sentence), they are gerunds. JAMB tests word classes and their functions regularly.","A: A present participle functions as part of a verb phrase or adjective, not as a subject noun. C: Progressive form requires an auxiliary: 'is swimming' — no auxiliary here. D: An adjective modifies a noun; 'swimming' here is itself the subject noun."
"79","Use of English","Word Classes & Functions","From the sentence: 'The RAPIDLY FLOWING river destroyed several bridges.' The phrase 'rapidly flowing' functions as _____.","a noun phrase","an adverbial phrase","an adjectival (participial) phrase","a verbal phrase","C","'Rapidly flowing' modifies the noun 'river' — it tells us what kind of river. An -ing phrase that modifies a noun is a participial/adjectival phrase.","A: A noun phrase functions as a noun (subject/object); this phrase modifies the noun. B: An adverbial phrase modifies a verb, adjective, or another adverb. D: A verbal phrase is the predicate of a sentence — not a modifier."
"80","Use of English","Basic Grammar & Concord (Gerunds after prepositions)","Choose the option that CORRECTLY fills the gap: 'She insisted on _____ the first to arrive.'","be","being","to be","been","B","After prepositions (here, 'on'), the gerund (-ing form) is always used. 'Insisted on being' is correct.","A: Base form 'be' cannot follow a preposition. C: To-infinitive cannot follow a preposition in standard grammar. D: 'Been' is a past participle — incorrect after a preposition without an auxiliary."
"81","Use of English","Word Classes & Functions","Identify the PART OF SPEECH of the underlined word: 'He spoke BOLDLY to the principal.'","adjective","noun","adverb","verb","C","'Boldly' modifies the verb 'spoke', describing how he spoke. Words that modify verbs, adjectives, or other adverbs are adverbs. JAMB tests this under word classes.","A: An adjective modifies a noun. B: A noun names a person, place, or thing. D: 'Spoke' is already the verb; 'boldly' modifies it."
"82","Use of English","Word Classes & Functions","In the sentence 'His COMING surprised everyone,' the underlined word is a _____.","verb","present participle","gerund","adjective","C","'Coming' is preceded by the possessive pronoun 'his', functioning as a noun (subject). When an -ing form acts as a noun with a possessive modifier, it is a gerund.","A: A verb needs an auxiliary or tense marker; 'his coming' is a noun phrase. B: A present participle functions as part of a verb phrase or adjective, not as a noun. D: An adjective modifies a noun — 'coming' here IS the noun."
"83","Use of English","Word Classes & Functions","'The INJURED player was rushed to the hospital.' The underlined word functions as _____.","a gerund","a past participle used as adjective","a verb in the passive","an adverb","B","'Injured' modifies the noun 'player'. It is a past participle used adjectivally. JAMB tests adjectival participial usage regularly.","A: A gerund is an -ing form used as a noun. C: In the passive, 'injured' would need an auxiliary: 'was injured'. D: An adverb modifies a verb or adjective — 'injured' here modifies a noun."
"84","Use of English","Word Classes & Functions","Choose the option that correctly identifies the word class of HOWEVER in this sentence: 'However, the results were not what we expected.'","conjunction","adverb","preposition","adjective","B","Used at the beginning of a sentence to contrast a previous statement, 'however' functions as a conjunctive adverb. It modifies the meaning of the whole sentence and shows contrast.","A: A conjunction joins clauses within a sentence (and, but, because); 'however' here stands alone. C: Prepositions show relationships between nouns; 'however' does not. D: An adjective modifies a noun — 'however' does not."
"85","Use of English","Word Classes & Functions","In the sentence 'TO WIN is every athlete's dream,' the underlined phrase is _____.","an adjective phrase","an adverbial phrase","a noun phrase (infinitive used as subject)","a participial phrase","C","'To win' is an infinitive phrase functioning as the subject of the sentence — it is a noun phrase equivalent. JAMB tests infinitive functions.","A: An adjective phrase modifies a noun. B: An adverbial phrase modifies a verb. D: A participial phrase uses -ing or -ed; infinitives use 'to + verb'."
"86","Use of English","Word Classes & Functions","Which of the following sentences contains an APPOSITIVE phrase?","The principal, Mr. Bepo, returned from the UK.","The principal returned from the UK quickly.","The principal who returned from the UK was popular.","The principal returned, and everyone was happy.","A","An appositive renames or further identifies the noun beside it. 'Mr. Bepo' renames 'the principal' and is placed directly beside it — this is an appositive phrase.","B: No appositive is present; 'quickly' is an adverb. C: 'Who returned from the UK' is a relative clause, not an appositive. D: This is a compound sentence with 'and'; no appositive."
"87","Use of English","Word Classes & Functions (Clauses)","Choose the option that CORRECTLY identifies the clause type: 'Unless you apologise, I will report you.'","a concessive adverbial clause","a conditional adverbial clause","a temporal adverbial clause","a relative clause","B","'Unless you apologise' is a condition (negative condition — if not). Clauses introduced by 'unless', 'if', 'provided that' are conditional adverbial clauses.","A: Concessive clauses are introduced by 'although', 'even though', 'though'. C: Temporal clauses are introduced by 'when', 'before', 'after', 'while'. D: Relative clauses are introduced by 'who', 'which', 'that', 'whose'."
"88","Use of English","Tense & Aspect","Choose the option that CORRECTLY fills the gap: 'The examination _____ before he could arrive.'","had already started","has already started","already started","is already starting","A","The past perfect 'had already started' correctly shows that the start of the exam preceded his arrival (also past). Sequence of past events requires the past perfect for the earlier action.","B: Present perfect 'has already started' cannot be used with past time reference 'could arrive'. C: 'Already started' lacks the perfect aspect to show prior sequence. D: 'Is already starting' is present progressive — incorrect for a past event."
"89","Use of English","Tense & Aspect","Choose the CORRECT option to fill the gap: 'She _____ to Abuja twice this year.'","went","has gone","had gone","goes","B","'This year' signals a time period still in progress. The present perfect 'has gone' is used for actions in an unfinished time period. JAMB tests this distinction regularly.","A: Simple past 'went' is used with completed past time (e.g., 'last year'). C: Past perfect 'had gone' requires a previous past reference point. D: 'Goes' is habitual/present simple — incorrect for this context."
"90","Use of English","Tense & Aspect","'He has been working here since 2010.' This sentence expresses _____.","a completed action in the past","an action that started in the past and is still ongoing","a future planned action","a habitual action in the present","B","'Has been working' is the present perfect continuous, used to express an action that began in the past and continues up to the present, especially with 'since' or 'for'.","A: A completed past action uses the simple past or present perfect without 'since'. C: Future plans use 'will be' or 'is going to'. D: Habitual actions use the present simple."
"91","Use of English","Tense & Aspect (Conditionals)","In the sentence 'I would have called you if I had your number,' what type of conditional is expressed?","First conditional (likely future)","Second conditional (unlikely present/future)","Third conditional (impossible past)","Zero conditional (general truth)","C","'Would have called' + 'had had' constructs the third conditional, expressing an unreal/impossible past situation — something that did NOT happen and cannot now be changed.","A: First conditional: 'If I have...I will call' — for real future possibility. B: Second conditional: 'If I had...I would call' — for unreal present/future. D: Zero conditional: 'If you heat water, it boils' — scientific/general truths."
"92","Use of English","Tense & Aspect","Identify the ERROR in the sentence: 'After he had finished eating, he washed his hands.'","'had finished' should be 'finished'","'eating' should be 'to eat'","'washed' should be 'had washed'","There is no error in the sentence.","D","The sentence is perfectly correct. 'Had finished' is past perfect for the action completed first; 'washed' is simple past for the action that followed. The sequence of tenses is accurate.","A: Both simple past and past perfect can be used here; 'had finished' is correctly used for the earlier action. B: 'Eating' correctly follows the preposition 'after'; the gerund is required. C: 'Washed' is correctly in simple past as the subsequent action."
"93","Use of English","Mechanics & Spelling","Choose the option with the CORRECT SPELLING:","accomodation","accommodation","accomadation","accomedation","B","'Accommodation' is correctly spelled with double 'c' and double 'm'. This is one of JAMB's most tested spelling words.","A: 'Accomodation' — missing one 'm'. C: 'Accomadation' — misspelled vowel in the third syllable. D: 'Accomedation' — incorrect vowel."
"94","Use of English","Mechanics & Spelling","Choose the CORRECTLY spelled option:","recieve","recive","receive","recieve (duplicate distractor)","C","'Receive' follows the spelling rule: 'i before e, except after c.' After 'c', the order is 'ei', giving 'receive'. This is a classic JAMB spelling trap.","A: 'Recieve' — incorrect order, putting 'i' before 'e' after 'c'. B: 'Recive' — missing the second 'e'. D: Same error as A — incorrect (the original paper repeats this distractor as option D)."
"95","Use of English","Mechanics & Punctuation","Identify the sentence with CORRECT punctuation:","Its a pity that the boy failed his examination.","It's a pity that the boy failed his examination.","Its' a pity that the boy failed his examination.","Its a pity, that the boy failed his examination.","B","'It's' (with apostrophe) is the contraction of 'it is'. 'Its' (without apostrophe) is the possessive pronoun. 'It's a pity' = 'It is a pity' — the apostrophe is required for contraction.","A: 'Its' (no apostrophe) = possessive — 'Its a pity' would mean the pity belongs to 'it'. C: 'Its'' — no such form exists in standard English. D: 'Its' is still the possessive form; the comma is also incorrectly placed."
"96","Use of English","Mechanics & Spelling","Choose the option with the CORRECT SPELLING:","mischevious","mischeivous","mischievous","mischeivious","C","'Mischievous' is the correct spelling — three syllables: mis-chie-vous. A common error is adding an extra syllable to make 'mischievious' or misspelling the 'ie'.","A: 'Mischevious' — missing the 'i' in 'iev'. B: 'Mischeivous' — incorrect vowel order. D: 'Mischeivious' — adds an extra syllable and misspells the vowels."
"97","Use of English","Mechanics & Punctuation","Choose the correctly punctuated sentence:","Chidi's father, who is a lawyer is very strict.","Chidi's father who is a lawyer, is very strict.","Chidi's father, who is a lawyer, is very strict.","Chidi's father who is a lawyer is very strict.","C","'Who is a lawyer' is a non-restrictive (non-defining) relative clause — it adds extra information and must be set off by two commas. The information is parenthetical.","A: Only one comma — non-restrictive clauses require commas on BOTH sides. B: The comma is on the wrong side of the clause. D: No commas — but the clause gives supplementary information requiring commas."
"98","Use of English","Mechanics & Punctuation (Apostrophes)","Choose the sentence with CORRECT USE OF APOSTROPHE:","The children's playground was renovated.","The childrens' playground was renovated.","The childrens playground was renovated.","The children's' playground was renovated.","A","'Children' is an irregular plural not ending in -s. For possessives of irregulars, add 's. So 'children's' is correct. For regular plurals ending in -s (e.g., students), only add an apostrophe after the -s: students'.","B: 'Childrens'' — 'childrens' is not a word; children is already plural. C: No apostrophe — missing possessive marker. D: 'Children's'' — double apostrophe is incorrect."
"99","Use of English","Mechanics & Spelling","Choose the option with CORRECT SPELLING:","priviledge","privelege","privilege","privilage","C","'Privilege' — the correct form. No 'd' before the 'ge', and the vowels are: pri-vi-lege. Commonly misspelled as 'priviledge' or 'privelege'.","A: 'Priviledge' — incorrect addition of 'd'. B: 'Privelege' — incorrect vowels. D: 'Privilage' — incorrect vowel in the final syllable."
"100","Use of English","Mechanics & Punctuation (Semicolons)","Which sentence demonstrates the CORRECT use of a semicolon?","He studied hard for the exam; and passed it.","He studied hard for the exam; he passed it easily.","He studied hard; for the exam.","He studied; hard for the exam.","B","A semicolon joins two independent clauses that are closely related in thought, WITHOUT using a conjunction. 'He studied hard for the exam; he passed it easily' has two independent clauses correctly joined by a semicolon.","A: A semicolon before 'and' is incorrect — don't use semicolons with coordinating conjunctions. C: 'For the exam' is not an independent clause — it cannot follow a semicolon alone. D: The semicolon splits 'studied' from its adverb — grammatically incorrect."
"101","Use of English","Figurative & Idiomatic Usage","Identify the FIGURE OF SPEECH used: 'The wind sang a mournful song through the trees.'","simile","metonymy","personification","hyperbole","C","Attributing human actions ('sang a mournful song') to a non-human thing (the wind) is personification. JAMB tests all major figures of speech.","A: Simile uses 'like' or 'as' to make comparisons. B: Metonymy substitutes one noun for a related concept (e.g., 'the crown' for the king). D: Hyperbole is deliberate exaggeration for effect."
"102","Use of English","Figurative & Idiomatic Usage","'His plan is a double-edged sword.' This expression is an example of _____.","hyperbole","metaphor","simile","irony","B","A metaphor makes a direct comparison without using 'like' or 'as'. 'His plan IS a double-edged sword' directly equates the plan to a double-edged sword.","A: Hyperbole exaggerates — 'his plan is the best in history' would be hyperbole. C: Simile uses 'like' or 'as': 'his plan is like a double-edged sword'. D: Irony says the opposite of what is meant for effect."
"103","Use of English","Figurative & Idiomatic Usage","'He is as brave as a lion.' This is an example of _____.","metaphor","hyperbole","simile","alliteration","C","A simile makes a comparison using 'as...as' or 'like'. 'As brave as a lion' uses 'as...as' — this is a simile.","A: A metaphor would say 'He is a lion'. B: Hyperbole would be 'He is the bravest person who ever lived'. D: Alliteration is the repetition of initial consonant sounds."
"104","Use of English","Figurative & Idiomatic Usage","Identify the CORRECT meaning of the idiom 'to let sleeping dogs lie'.","to abandon a difficult project","to avoid reviving an old problem","to accept defeat gracefully","to ignore a threat","B","'Let sleeping dogs lie' means to avoid raising issues that are settled or dormant, since doing so may cause trouble. It advises against stirring up old controversies.","A: Abandoning a project is not this idiom's meaning. C: Accepting defeat is a different concept. D: Ignoring a threat is partially related but too general."
"105","Use of English","Figurative & Idiomatic Usage","'The announcement was music to his ears.' This sentence illustrates _____.","personification","a simile","an idiom","alliteration","C","'Music to his ears' is a fixed idiomatic expression meaning very pleasant or welcome news. It is not a simile (no 'like/as') and not personification.","A: Personification attributes human qualities to non-humans. B: A simile requires 'like' or 'as': 'it was like music to his ears'. D: Alliteration repeats consonant sounds."
"106","Use of English","Figurative & Idiomatic Usage","'The pen is mightier than the sword.' This expression is an example of _____.","simile","hyperbole","metaphor","personification","C","The pen (writing) is directly compared to the sword (military force) without 'like' or 'as'. This is metaphor. It is also a metonymy, but among the options, metaphor is the most fitting choice.","A: A simile would use 'like' or 'as'. B: Hyperbole exaggerates; this is a direct comparative statement. D: Personification gives human qualities to non-humans."
"107","Use of English","Figurative & Idiomatic Usage","'I have told you a thousand times not to come here.' The figure of speech used is _____.","personification","irony","hyperbole","simile","C","'A thousand times' is an exaggeration used for emphasis. Deliberate exaggeration for effect is hyperbole — one of JAMB's most tested figures of speech.","A: Personification gives human traits to non-humans. B: Irony says the opposite of what is meant. D: Simile uses 'like' or 'as'."
"108","Use of English","Figurative & Idiomatic Usage","'His words were like daggers to her heart.' The figure of speech is _____.","metaphor","simile","hyperbole","alliteration","B","'Like daggers' uses the word 'like' to make the comparison, making this a simile.","A: A metaphor would say 'His words were daggers to her heart'. C: Hyperbole exaggerates without necessarily using comparison words. D: Alliteration repeats initial consonant sounds."
"109","Use of English","Figurative & Idiomatic Usage","'Peter Piper picked a peck of pickled peppers.' This sentence illustrates _____.","assonance","alliteration","onomatopoeia","rhyme","B","The repeated /p/ sound at the beginning of multiple words is alliteration. It is used for rhythmic or emphatic effect.","A: Assonance is the repetition of vowel sounds within words. C: Onomatopoeia uses words whose sounds mimic what they describe (buzz, crack). D: Rhyme involves matching end sounds, not initial sounds."
"110","Use of English","Figurative & Idiomatic Usage","'He kicked the bucket yesterday.' This sentence is an example of _____.","a figurative expression for sleeping","a literal statement about a bucket","an idiom meaning he died","a metaphor for illness","C","'Kick the bucket' is an idiom universally understood to mean 'to die'. JAMB tests whether students can distinguish literal from idiomatic meaning.","A: 'Kicked the bucket' does not refer to sleeping. B: The literal interpretation is the JAMB distractor — but in context this is idiom. D: It is not a metaphor for illness."
"111","Use of English","Figurative & Idiomatic Usage","'The crowd roared its approval.' The word 'roared' is an example of _____.","personification","hyperbole","onomatopoeia","simile","C","'Roared' imitates the actual sound of a loud roar — the word's sound mirrors the action it describes. This is onomatopoeia.","A: Personification attributes human qualities to non-humans — a crowd can roar. B: Hyperbole exaggerates; 'roared' is a realistic description. D: Simile uses 'like' or 'as'."
"112","Use of English","Figurative & Idiomatic Usage","In the sentence 'He gave his life for the country,' the phrase 'gave his life' means _____.","donated blood to the nation","died for the country","worked tirelessly for the country","served in the military","B","'To give one's life' is an idiom/figurative expression meaning to die in service of a cause. JAMB tests the ability to identify figurative versus literal usage.","A: Donating blood is literal and unrelated to the idiom. C: Working tirelessly is possible but 'gave his life' specifically implies death. D: Military service alone does not capture the finality of 'gave his life'."
"113","Use of English","Figurative & Idiomatic Usage","Choose the option that contains an OXYMORON:","His speech was long and boring.","The deafening silence filled the room.","She ran as fast as the wind.","The trees danced in the breeze.","B","An oxymoron pairs two seemingly contradictory words. 'Deafening silence' — deafening means extremely loud; silence is the absence of sound. The contradiction creates a powerful image.","A: 'Long and boring' are consistent adjectives, not contradictory. C: 'Ran as fast as the wind' is a simile. D: 'Trees danced' is personification."
"114","Use of English","Figurative & Idiomatic Usage","'The United Nations has sent troops to the war-torn region.' The word 'United Nations' here represents an example of _____.","metaphor","euphemism","metonymy","synecdoche","C","Metonymy substitutes a word/phrase with a closely related concept. 'United Nations' stands for the organisation's leadership/decision-making body, not literally all nations united. In this context it is metonymy — using the institution's name to stand for its actions.","A: Metaphor makes an implicit comparison; this is a substitution of name. B: Euphemism softens harsh realities with gentle language. D: Synecdoche uses part for whole (e.g., 'hired hands' for workers)."
"115","Use of English","Figurative & Idiomatic Usage","Identify the EUPHEMISM in the following: 'The company has decided to let him go.'","He has been rewarded for good performance.","He has been promoted to a higher position.","He has been dismissed from employment.","He has voluntarily resigned from work.","C","'Let him go' is a euphemism — a polite or indirect expression used in place of one that may seem too harsh or blunt. 'Let go' is a softer way of saying 'dismiss/fire'. JAMB tests euphemisms under figurative usage.","A: Rewarding for performance is not what 'let him go' means. B: Promotion contradicts 'let him go'. D: 'Let go' implies a company decision, not voluntary resignation."
"116","Use of English","Oral Forms - Vowels","Which of the following words contains the vowel sound /I/ (short 'i') as in 'sit'?","seat","feet","him","heat","C","'Him' contains the short vowel /I/ — the lax, short 'i' sound. 'Seat', 'feet', and 'heat' all contain the long vowel /i:/.","A: 'Seat' has the long /i:/ sound. B: 'Feet' has the long /i:/ sound. D: 'Heat' has the long /i:/ sound."
"117","Use of English","Oral Forms - Vowels","Which of the following words contains a DIPHTHONG?","sit","bed","boy","cup","C","A diphthong is a vowel sound made by gliding from one vowel to another within the same syllable. 'Boy' contains the diphthong /oI/ — a glide from /o/ to /I/.","A: 'Sit' contains a monophthong /I/. B: 'Bed' contains a monophthong /e/. D: 'Cup' contains a monophthong /ʌ/."
"118","Use of English","Oral Forms - Vowels","Which of the following words contains the same vowel sound as the underlined letters in 'BLOOD'?","food","mood","flood","stood","C","'Blood' is pronounced /blʌd/ — the 'oo' gives the /ʌ/ sound. 'Flood' is also pronounced /flʌd/. This is a classic JAMB rhyming/vowel trap.","A: 'Food' is /fu:d/ — long /u:/ sound. B: 'Mood' is /mu:d/ — long /u:/ sound. D: 'Stood' is /stʊd/ — short /ʊ/ sound."
"119","Use of English","Oral Forms - Vowels","Which of the following words has a different vowel sound from the others?","pear","bear","fear","wear","C","'Pear', 'bear', and 'wear' all contain the diphthong /eə/ (as in 'air'). 'Fear' contains the diphthong /Iə/ (as in 'ear'). JAMB regularly tests identifying the odd-one-out vowel sound.","A: 'Pear' /peə/ — /eə/ diphthong. B: 'Bear' /beə/ — /eə/ diphthong. D: 'Wear' /weə/ — /eə/ diphthong."
"120","Use of English","Oral Forms - Vowels","The underlined vowel in 'BIRD' is correctly represented as _____.","/I/","/3:/","/ae/","/ʌ/","B","'Bird' /b3:d/ contains the long central vowel /3:/ — the same sound as in 'heard', 'word', 'turn'. This is a monophthong tested in JAMB oral forms.","A: /I/ is the short 'i' in 'sit' — not the same. C: /ae/ is the vowel in 'cat', 'man' — not 'bird'. D: /ʌ/ is the vowel in 'cup', 'blood' — not 'bird'."
"121","Use of English","Oral Forms - Vowels","Which of the following words contains a TRIPHTHONG?","play","fire","see","him","B","A triphthong is a vowel sequence consisting of three vowel sounds gliding within a single syllable. 'Fire' /faIə/ contains the triphthong /aIə/ — from /a/ to /I/ to /ə/.","A: 'Play' contains the diphthong /eI/. C: 'See' contains the long monophthong /i:/. D: 'Him' contains the monophthong /I/."
"122","Use of English","Oral Forms - Vowels","Which vowel sound appears in both 'CUT' and 'LOVE'?","/ɒ/","/ʊ/","/ʌ/","/u:/","C","Both 'cut' /kʌt/ and 'love' /lʌv/ contain the short central vowel /ʌ/ despite different spellings. This is a JAMB favourite — testing vowel sound recognition across different spellings.","A: /ɒ/ is the vowel in 'hot', 'top'. B: /ʊ/ is the short 'oo' in 'put', 'good'. D: /u:/ is the long 'oo' in 'food', 'moon'."
