Subject,Topic,Q#,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Why Other Options Are Wrong
Chemistry,Air and Water,62,Which method is used to remove BOTH temporary and permanent hardness from water?,Boiling,Adding washing soda (Na2CO3),Distillation,Both B and C,D,"Both washing soda (Na2CO3) and distillation remove all types of hardness. Na2CO3 precipitates Ca2+ and Mg2+ as their carbonates (removes both). Distillation collects pure water, leaving all dissolved salts behind. Boiling alone only removes temporary hardness.",A: Boiling only removes temporary hardness. B: Washing soda alone removes both types but is not the only complete answer. C: Distillation alone removes both but is not the only method listed.
Chemistry,Air and Water,63,Noble gases are found in air as components. The most abundant noble gas in air is,Helium (He),Neon (Ne),Argon (Ar),Krypton (Kr),C,"Argon makes up approximately 0.93% of dry air, making it the most abundant noble gas in the atmosphere. Neon and other noble gases are present in much smaller trace amounts.",A: Helium is very rare in Earth's atmosphere (it escapes gravity). B: Neon is present in very small trace amounts (~0.0018%). D: Krypton is present in only trace amounts (~0.0001%).
Chemistry,Air and Water,64,Deliquescence is the ability of a substance to,lose water of crystallization to the atmosphere,absorb moisture from the air without dissolving,absorb enough moisture from the air to dissolve and form a solution,change directly from solid to vapour,C,"A deliquescent substance absorbs so much water vapour from the atmosphere that it eventually dissolves in the absorbed water to form a solution. Examples include NaOH, CaCl2, and ZnCl2.",A: This describes efflorescence (losing water of crystallization). B: This describes hygroscopy (absorbing moisture without dissolving). D: This describes sublimation.
Chemistry,Air and Water,65,The treatment of town water supply includes which of the following steps?,"Sedimentation, filtration, and chlorination",Distillation only,Addition of calcium sulphate,Boiling and cooling only,A,"Town water treatment typically involves: sedimentation (large particles settle), filtration (through sand and gravel beds), and chlorination (adding chlorine to kill bacteria/disinfect). This sequence is the standard JAMB-expected answer.",B: Distillation is expensive and not used for large-scale town supply. C: Calcium sulphate causes hardness; it is not added during treatment. D: Boiling is not practical for large-scale water treatment.
Chemistry,Air and Water,66,Water of crystallization refers to,water used to dissolve a salt,the fixed number of water molecules chemically incorporated into the crystal structure of a salt,water formed when hydrogen burns in oxygen,water used to wash crystals after filtration,B,"Water of crystallization is the definite number of water molecules that are chemically bonded and incorporated into the crystal lattice structure of a hydrated salt. For example, CuSO4·5H2O has 5 molecules of water of crystallization.","A: This is just solvent water, not water of crystallization. C: This describes the product of combustion of hydrogen, not water of crystallization. D: Wash water is separate from the crystal structure."
Chemistry,Air and Water,67,Air is considered a mixture (not a compound) because,it contains only gases,its composition varies and its components retain individual properties,it has a fixed boiling point,it contains mainly nitrogen and oxygen,B,"Air is a mixture because: its composition varies by location/altitude, its components (N2, O2, etc.) retain their individual chemical properties, it has no fixed melting/boiling point, and the components can be separated by physical means (fractional distillation of liquid air).","A: Being gaseous is not the criterion for being a mixture. C: A fixed boiling point would suggest a PURE substance, not a mixture. D: The specific components present don't alone determine whether it's a mixture."
Chemistry,Air and Water,68,The biological significance of dissolved oxygen in water is that it,makes water taste better,is used by aquatic organisms for respiration,prevents water from freezing,neutralizes acids in water,B,"Dissolved oxygen in water is essential for aquatic life (fish, microorganisms) as they use it for aerobic respiration. Water pollution that depletes dissolved oxygen (BOD) leads to death of aquatic organisms.",A: Oxygen has no significant effect on water taste. C: Dissolved substances slightly lower the freezing point but this is not the biological significance. D: Oxygen does not neutralize acids.
Chemistry,Solubility,69,A solution that contains more dissolved solute than it would normally hold at a given temperature is called,Unsaturated,Saturated,Supersaturated,Concentrated,C,A supersaturated solution contains MORE dissolved solute than a saturated solution at the same temperature. It is prepared by dissolving solute at a higher temperature and carefully cooling without disturbance. It is unstable and crystallizes rapidly when disturbed.,A: Unsaturated contains less solute than maximum capacity. B: Saturated holds exactly the maximum amount at that temperature. D: Concentrated refers to a relatively large amount of solute but is not a precise classification.
Chemistry,Solubility,70,"From a solubility curve, the amount of KNO3 that can dissolve in 100g of water at 40°C is read as 65g and at 20°C is 32g. How much KNO3 would crystallize out if a saturated solution prepared at 40°C is cooled to 20°C?",32g,65g,33g,97g,C,"At 40°C, 65g dissolves. At 20°C, only 32g can remain dissolved. Therefore, 65 - 32 = 33g crystallizes out.","A: 32g is the amount that stays dissolved at 20°C. B: 65g is the total dissolved at 40°C. D: 97g is the sum, not the difference."
Chemistry,Solubility,71,Which of the following best describes a colloid?,A mixture where particles are so small they pass through filter paper and do not scatter light,A heterogeneous mixture where dispersed particles (1-1000nm) are larger than solution particles but don't settle out,A mixture where solid particles are so large they settle out on standing,A solution where the solute is completely dissolved,B,"A colloid has particle sizes between 1 and 1000 nm. They are too small to be filtered but large enough to scatter light (Tyndall effect). They do not settle under gravity. Examples: milk, fog, aerosol sprays.",A: This describes a true solution. C: This describes a suspension. D: This describes a true solution.
Chemistry,Solubility,72,The Tyndall effect is used to distinguish between,saturated and unsaturated solutions,true solutions and colloids,acidic and alkaline solutions,organic and inorganic solvents,B,"The Tyndall effect is the scattering of a beam of light by colloidal particles. True solutions do not scatter light (particles too small). Colloids scatter light, making the beam visible. This is used to distinguish them.","A: Both saturated and unsaturated solutions may show no Tyndall effect if they are true solutions. C: pH indicators, not light scattering, distinguish acidic and alkaline. D: Not relevant to Tyndall effect."
Chemistry,Solubility,73,Harmattan haze is an example of which type of mixture?,True solution,Colloid,Suspension,Emulsion,C,"According to the JAMB syllabus, Harmattan haze and water paints are cited as examples of SUSPENSIONS (large visible particles dispersed in a medium that eventually settle).","A: True solutions are transparent and uniform. B: Colloids include fog and milk; Harmattan haze has larger, settable particles. D: Emulsions are specifically liquid-in-liquid colloids."
Chemistry,Solubility,74,Which solvent is most appropriate for removing grease stains from fabric?,Water,Dilute HCl,Tetrachloromethane (CCl4) or similar non-polar solvent,Sodium hydroxide solution,C,"Grease/fats/oils are non-polar substances. 'Like dissolves like' — non-polar solvents like CCl4, benzene, or dry-cleaning solvents dissolve non-polar substances like grease. Water (polar) cannot effectively dissolve grease.","A: Water is polar and does not dissolve non-polar grease. B: Dilute HCl would damage fabric and doesn't dissolve grease. D: NaOH would damage fabric; while it saponifies fats, it's not used for stain removal."
Chemistry,Solubility,75,Milk is an example of which type of colloid?,Sol (solid in liquid),Emulsion (liquid in liquid),Aerosol (solid in gas),Foam (gas in liquid),B,"Milk is an emulsion — it is a colloidal dispersion of fat (liquid) droplets dispersed in water (liquid). It is specifically an oil-in-water emulsion, stabilized by proteins.","A: A sol has solid particles dispersed in liquid (e.g., paint, starch solution). C: An aerosol has solid or liquid particles in a gas (e.g., smoke, fog). D: Foam has gas bubbles dispersed in liquid (e.g., whipped cream)."
Chemistry,Solubility,76,The solubility of most solid solutes in water increases with increasing temperature because,higher temperature decreases the density of water,increased temperature provides more energy to overcome lattice energy and solvate ions,hot water molecules are larger,temperature has no effect on solid solubility,B,"Higher temperatures give water molecules more kinetic energy to break apart the crystal lattice (overcome lattice energy) and form more solute-solvent interactions, thus dissolving more solute.",A: Density change is irrelevant to solubility mechanism. C: Water molecules don't change size with temperature. D: Temperature clearly affects solubility (shown by solubility curves).
Chemistry,Environmental Pollution,77,Which of the following gases is primarily responsible for acid rain?,Carbon dioxide (CO2),Nitrogen gas (N2),Sulphur dioxide (SO2),Argon (Ar),C,"SO2 from burning fossil fuels (coal, oil) reacts with water and oxygen in the atmosphere to form H2SO4 (sulphuric acid), which falls as acid rain. NO2 also contributes to forming HNO3 acid rain.",A: CO2 forms carbonic acid (H2CO3) but this is weak; the main cause of acid rain is SO2/SO3. B: N2 is inert under normal conditions. D: Argon is chemically inert.
Chemistry,Environmental Pollution,78,Chlorofluorocarbons (CFCs) are air pollutants because they,produce carbon monoxide when burned,cause global warming by trapping heat,destroy the ozone layer in the stratosphere,react with nitrogen to form acid rain,C,"CFCs (used in aerosols and refrigerants) rise to the stratosphere where UV radiation breaks them down, releasing chlorine radicals that catalytically destroy ozone (O3) molecules, depleting the ozone layer.",A: CFCs contain no carbon-hydrogen bonds that would produce CO on burning. B: CFCs do contribute to greenhouse effect but their PRIMARY environmental concern is ozone depletion. D: CFCs do not react with nitrogen to form acid rain.
Chemistry,Environmental Pollution,79,Carbon monoxide (CO) is a dangerous air pollutant because it,reacts with water to form carbonic acid,"binds irreversibly to haemoglobin, preventing oxygen transport in blood",causes irritation to the eyes and throat,"has a strong, unpleasant odour",B,"CO has an affinity for haemoglobin (Hb) about 200 times greater than oxygen, forming carboxyhaemoglobin (COHb). This prevents O2 from binding to Hb, leading to oxygen starvation and death (CO poisoning). CO is odourless.","A: CO2 reacts with water to form carbonic acid, not CO. C: CO2 causes irritation; CO is odourless and colourless — its danger is internal. D: CO is odourless; H2S has a strong unpleasant odour."
Chemistry,Environmental Pollution,80,Oil spillage in the soil is classified as,Biodegradable pollution,Non-biodegradable pollution,Air pollution,Thermal pollution,B,"Oil and petroleum products are primarily non-biodegradable (or very slowly degradable). Oil spillage in soil persists for years, kills soil organisms, prevents plant growth, and contaminates groundwater.","A: Biodegradable pollutants (sewage, food waste) are broken down by microorganisms quickly. C: Oil spillage is soil/water pollution. D: Thermal pollution involves heat discharge into water bodies."
Chemistry,Environmental Pollution,81,The primary source of H2S as an air pollutant is,Vehicle exhaust,Volcanic emissions and decaying organic matter,Industrial chimneys burning coal,CFC-containing aerosol sprays,B,"Hydrogen sulphide (H2S) is naturally released from volcanic activity, geothermal vents, and the decomposition (putrefaction) of sulphur-containing organic matter by bacteria. It is also released by oil refining.","A: Vehicle exhaust mainly produces CO, CO2, NOx, and hydrocarbons. C: Coal burning mainly produces SO2 and CO2. D: Aerosols release CFCs, not H2S."
Chemistry,Environmental Pollution,82,Which of the following is a measure for controlling air pollution from industrial chimneys?,Using taller chimneys and no filtration,Installing scrubbers and electrostatic precipitators,Burning more fuel at lower temperatures,Using unleaded petrol in industries,B,Scrubbers (spray towers that absorb SO2 with alkaline water) and electrostatic precipitators (charge and collect dust particles on plates) are industrial pollution control devices that remove pollutants before emission.,"A: Taller chimneys just disperse pollution further, not control it. C: Lower temperature burning produces more incomplete combustion products. D: Unleaded petrol is for vehicle pollution control, not chimneys."
Chemistry,Environmental Pollution,83,Sewage is classified as which type of water pollutant?,Chemical pollutant,Biological/organic pollutant,Thermal pollutant,Radioactive pollutant,B,"Sewage contains biological material (human/animal waste, microorganisms, organic compounds). It increases BOD (Biological Oxygen Demand) in water, depleting dissolved oxygen and harming aquatic life.","A: Chemical pollutants include heavy metals, pesticides. C: Thermal pollution is from hot water discharge (power plants). D: Radioactive pollution comes from nuclear facilities."
Chemistry,Environmental Pollution,84,Oxides of nitrogen (NOx) are produced as air pollutants mainly from,Refrigerators and air conditioners,High-temperature combustion in vehicle engines and power plants,Agricultural fertilizers decomposing,Volcanic eruptions only,B,"At the high temperatures in vehicle engines and power plant combustion chambers, atmospheric N2 and O2 react to form NO and NO2 (NOx). These contribute to smog and acid rain (HNO3).","A: Refrigerators release CFCs or newer refrigerants, not NOx. C: Fertilizers can release N2O but NOT the NOx that causes smog. D: Volcanos are a source but high-temperature combustion is the primary anthropogenic source."
Chemistry,"Acids, Bases & Salts",85,"According to Brønsted-Lowry theory, an acid is",a substance that produces OH- ions in aqueous solution,a proton donor,an electron pair acceptor,a substance that produces H+ ions only when dissolved in water,B,The Brønsted-Lowry definition states that an acid is a proton (H+) donor. The JAMB syllabus defines an acid as 'a proton donor' or 'a substance whose aqueous solution furnishes H3O+ ions.',"A: This is the definition of a base (Arrhenius). C: This is the Lewis definition of an acid. D: This is the Arrhenius definition, which is more limited."
Chemistry,"Acids, Bases & Salts",86,"If the pH of a solution is 3, the concentration of H3O+ ions is",3 mol/dm3,10^-3 mol/dm3,10^3 mol/dm3,0.3 mol/dm3,B,"pH = -log[H+]. If pH = 3, then -log[H+] = 3, so [H+] = 10^-3 mol/dm3.","A: 3 mol/dm3 is the pH value, not the H+ concentration. C: 10^3 confuses the sign in the logarithm. D: 0.3 is unrelated to pH = 3."
Chemistry,"Acids, Bases & Salts",87,The basicity of sulphuric acid (H2SO4) is,1,2,3,4,B,"Basicity of an acid is the number of replaceable hydrogen atoms (H+ ions) per molecule. H2SO4 has 2 hydrogen atoms, both replaceable, so its basicity is 2 (dibasic/diprotic acid).","A: Basicity 1 = monobasic acids like HCl, HNO3. C: Basicity 3 = tribasic acids like H3PO4. D: No common acids have basicity 4."
Chemistry,"Acids, Bases & Salts",88,Alum [KAl(SO4)2·12H2O] is an example of,A normal salt,An acidic salt,A double salt,A basic salt,C,Alum is a double salt — it contains two different cations (K+ and Al3+) and one anion (SO4 2-) in a single crystalline compound. The JAMB syllabus explicitly identifies alums as examples of double salts.,"A: A normal salt contains no replaceable H or OH. B: An acidic salt contains replaceable H (e.g., NaHSO4). D: A basic salt contains hydroxide (e.g., Pb(OH)Cl)."
Chemistry,"Acids, Bases & Salts",89,An acid-base indicator changes colour because,it reacts with the acid to form a precipitate,its ionized and un-ionized forms have different colours and the ratio changes with pH,it neutralizes excess acid or base,it is always red in colour by default,B,"Acid-base indicators are weak acids (HIn) where HIn and In- have different colours. In acid, HIn form predominates (one colour); in base, In- predominates (another colour). The colour depends on the relative amounts present, which depends on pH.",A: Indicators don't produce precipitates. C: Indicators are used in such tiny quantities they don't neutralize significant amounts. D: Indicators have various default colours (phenolphthalein is colourless in acid).
Chemistry,"Acids, Bases & Salts",90,"Citric acid, found in citrus fruits, is an example of which type of acid according to the JAMB syllabus?",Inorganic acid,Naturally occurring organic acid,Strong acid,Mineral acid,B,"The JAMB syllabus specifically identifies ethanoic, citric, and tartaric acids as examples of naturally occurring organic acids. Citric acid (C6H8O7) occurs naturally in lemons and other citrus fruits.","A: Citric acid is organic, not inorganic (mineral). C: Citric acid is a weak acid. D: Mineral/inorganic acids include HCl, H2SO4, HNO3."
Chemistry,"Acids, Bases & Salts",91,The hydrolysis of AlCl3 in water produces a solution that is,Neutral (pH = 7),Strongly alkaline,Acidic (pH < 7),Has no effect on pH,C,AlCl3 is the salt of a weak base (Al(OH)3) and a strong acid (HCl). When it hydrolyzes: Al3+ + 3H2O ⇌ Al(OH)3 + 3H+. The H+ ions produced make the solution acidic (pH < 7).,"A: Neutral solutions result from strong acid + strong base salts (e.g., NaCl). B: Alkaline solutions result from salts of strong base + weak acid (e.g., Na2CO3). D: Hydrolysis of this salt definitely affects pH."
Chemistry,"Acids, Bases & Salts",92,"In an acid-base titration, the equivalence point is defined as the point at which",the pH equals 7,the indicator changes colour,moles of acid equals moles of base (stoichiometric amounts have reacted completely),the solution turns red,C,The equivalence point is the theoretical point where the acid and base have reacted completely in stoichiometric proportions. It occurs when moles of acid × basicity = moles of base × acidity. The endpoint (indicator colour change) is the experimental approximation.,A: The pH at equivalence point is 7 only for strong acid + strong base titrations. B: The endpoint (indicator change) is the observable approximation; the equivalence point is theoretical. D: The colour depends on the indicator used.
Chemistry,"Acids, Bases & Salts",93,25cm3 of 0.1 mol/dm3 H2SO4 neutralizes what volume of 0.1 mol/dm3 NaOH?,12.5cm3,25cm3,50cm3,100cm3,C,H2SO4 + 2NaOH → Na2SO4 + 2H2O. Moles H2SO4 = 25/1000 × 0.1 = 0.0025 mol. Requires 2 × 0.0025 = 0.005 mol NaOH. Volume NaOH = 0.005/0.1 = 0.05 dm3 = 50cm3.,A: 12.5cm3 ignores the 1:2 ratio. B: 25cm3 assumes 1:1 ratio (ignoring that H2SO4 is dibasic). D: 100cm3 uses an incorrect 1:4 ratio.
Chemistry,"Acids, Bases & Salts",94,A solution has pOH = 4. What is the pH of the solution at 25°C?,4,10,14,-4,B,"At 25°C, pH + pOH = 14. Therefore pH = 14 - pOH = 14 - 4 = 10. This is an alkaline solution.","A: 4 is the pOH value, not pH. C: 14 would mean pOH = 0, which is extremely alkaline. D: Negative pH would require extremely concentrated acid."
Chemistry,"Acids, Bases & Salts",95,The preparation of sodium chloride (NaCl) by neutralization involves mixing,Na2CO3 and HCl,NaOH and H2SO4,NaOH and HCl,NaHCO3 and H2SO4,C,Neutralization: NaOH + HCl → NaCl + H2O. This is the simplest and most direct method of preparing NaCl by neutralization of a strong acid with a strong base.,A: Na2CO3 + 2HCl → 2NaCl + H2O + CO2 — this produces NaCl but involves action of acid on carbonate. B: NaOH + H2SO4 → Na2SO4 (not NaCl). D: NaHCO3 + H2SO4 produces Na2SO4 and CO2.
Chemistry,"Acids, Bases & Salts",96,Strong acids differ from weak acids in that strong acids,have higher molecular mass,are more concentrated,are completely dissociated into ions in aqueous solution,react with more substances,C,"The strength of an acid refers to the degree of ionization/dissociation. Strong acids (HCl, H2SO4, HNO3) are completely dissociated (≈100%) in dilute aqueous solution. Weak acids (CH3COOH, H2CO3) are only partially ionized.",A: Acid strength is unrelated to molecular mass. B: Strength and concentration are different properties; a strong acid can be dilute. D: Reactivity follows from ionization but the fundamental difference is degree of ionization.
Chemistry,"Acids, Bases & Salts",97,Which of the following salts is formed by the reaction of a strong acid with a strong base?,CH3COONa,NH4Cl,NaCl,Na2CO3,C,NaCl is formed from HCl (strong acid) + NaOH (strong base). Its aqueous solution is neutral (pH = 7). No hydrolysis occurs.,A: CH3COONa = weak acid (CH3COOH) + strong base (NaOH) → alkaline solution. B: NH4Cl = strong acid (HCl) + weak base (NH3) → acidic solution. D: Na2CO3 = weak acid (H2CO3) + strong base (NaOH) → alkaline solution.
Chemistry,"Acids, Bases & Salts",98,"In qualitative analysis, which reagent is used to confirm the presence of SO4 2- ions?",AgNO3 solution,BaCl2 solution in dilute HCl,Litmus paper,NaOH solution,B,"The test for SO4 2-: Add dilute HCl (to remove carbonate/sulphite ions that would interfere), then add BaCl2 solution. A white precipitate of BaSO4 (insoluble in HCl) confirms SO4 2-.","A: AgNO3 tests for halide ions (Cl-, Br-, I-). C: Litmus tests for acidity/alkalinity, not specific ions. D: NaOH is used to test for metal cations."
Chemistry,"Acids, Bases & Salts",99,The hydrolysis of Na2CO3 in water produces a solution with pH,Less than 7,Equal to 7,Greater than 7,Exactly 1,C,Na2CO3 is a salt of weak acid (H2CO3) and strong base (NaOH). CO3 2- hydrolyzes: CO3 2- + H2O ⇌ HCO3- + OH-. OH- ions make the solution alkaline (pH > 7).,"A: pH < 7 results from salts of strong acid + weak base. B: pH = 7 results from strong acid + strong base salts. D: pH = 1 is very strongly acidic, inconsistent with an alkaline salt."
Chemistry,"Acids, Bases & Salts",100,Which indicator is most suitable for titrating a strong acid against a strong base?,Methyl orange only,Phenolphthalein only,Either methyl orange or phenolphthalein,Universal indicator only,C,"For strong acid vs. strong base titrations, the pH changes very sharply from ~3 to ~11 at the equivalence point. Both methyl orange (range 3.1-4.4) and phenolphthalein (range 8.3-10.0) fall within this steep change, so either is suitable.","A: Methyl orange alone is correct but not the only option. B: Phenolphthalein alone is correct but not the only option. D: Universal indicator gives a gradual colour change, not a sharp endpoint."
Chemistry,Oxidation & Reduction,101,"In the reaction 2Mg + O2 → 2MgO, magnesium is",Reduced,Oxidized,Neither oxidized nor reduced,The oxidizing agent,B,Magnesium gains oxygen (or loses electrons: Mg → Mg2+ + 2e-). Both definitions confirm Mg is oxidized. Mg is the REDUCING agent (it reduces O2 by donating electrons).,"A: Mg gains oxygen, which is oxidation not reduction. C: Mg clearly changes oxidation state (+0 to +2). D: Mg is the REDUCING agent (it loses electrons); O2 is the oxidizing agent."
Chemistry,Oxidation & Reduction,102,The oxidation number of sulphur in H2SO4 is,+2,+4,+6,-2,C,"In H2SO4: each H = +1, each O = -2. So: 2(+1) + S + 4(-2) = 0. 2 + S - 8 = 0. S = +6.",A: +2 is incorrect. B: +4 is the oxidation state of S in SO2 (H2SO3). D: -2 is the oxidation state of S in H2S.
Chemistry,Oxidation & Reduction,103,"In the half-equation Cl2 + 2e- → 2Cl-, chlorine is undergoing",Oxidation,Reduction,Neutralization,Hydrolysis,B,"Reduction involves gain of electrons. In this half-equation, Cl2 gains electrons (2e-) to form Cl-. Oxidation state changes from 0 to -1. This is reduction.",A: Oxidation involves LOSS of electrons. C: Neutralization is between acid and base. D: Hydrolysis involves reaction with water.
Chemistry,Oxidation & Reduction,104,The IUPAC name of FeCl3 using oxidation number is,Iron chloride,Ferric chloride,Iron(III) chloride,Iron trichloride,C,The IUPAC Stock nomenclature uses the oxidation number in Roman numerals in brackets. Fe in FeCl3 has oxidation number +3. The IUPAC name is Iron(III) chloride.,"A: 'Iron chloride' is ambiguous (could be Fe2+ or Fe3+). B: 'Ferric chloride' is the traditional/older name, not IUPAC. D: 'Iron trichloride' is not the recommended IUPAC format."
Chemistry,Oxidation & Reduction,105,KMnO4 (potassium permanganate) acts as an oxidizing agent because it,donates oxygen to other substances,"accepts electrons, oxidizing other substances while being reduced itself",is always reduced to MnO2,"contains potassium, a reactive metal",B,"An oxidizing agent causes oxidation in another substance by accepting electrons from it. In doing so, the oxidizing agent itself is reduced. KMnO4 (Mn in +7 state) accepts electrons and Mn is reduced to +2 (acidic) or +4 (neutral/alkaline).","A: This is partially true but the fundamental definition is electron acceptance. C: In acidic solution, MnO4- is reduced to Mn2+, not MnO2. D: The activity of potassium is irrelevant to KMnO4's oxidizing ability."
Chemistry,Oxidation & Reduction,106,What is the oxidation number of manganese in MnO2?,+2,+4,+6,+7,B,In MnO2: each O = -2. Mn + 2(-2) = 0. Mn - 4 = 0. Mn = +4.,A: +2 is Mn in MnO or MnSO4. C: +6 is Mn in K2MnO4. D: +7 is Mn in KMnO4.
Chemistry,Oxidation & Reduction,107,"In a redox reaction, the substance that is oxidized",gains electrons,is the oxidizing agent,loses electrons and is the reducing agent,decreases in oxidation number,C,"Oxidation is loss of electrons (OIL — Oxidation Is Loss). The substance that is oxidized loses electrons and by doing so reduces another substance, making it the REDUCING agent.",A: Gaining electrons is reduction. B: The substance that is REDUCED is the oxidizing agent. D: Oxidation involves an INCREASE in oxidation number.
Chemistry,Oxidation & Reduction,108,Which test confirms that a substance is an oxidizing agent?,It turns damp blue litmus paper red,It bleaches damp starch-iodide paper (turns blue then decolourizes),It turns damp starch-iodide paper blue (by oxidizing I- to I2),It produces a white precipitate with BaCl2,C,"Starch-iodide paper contains KI and starch. An oxidizing agent oxidizes I- to I2 (I2 then turns starch blue-black), confirming it is an oxidizing agent. This is the standard test.",A: Turning litmus red indicates an acid. B: Bleaching starch-iodide would require a reducing agent removing I2. D: White precipitate with BaCl2 tests for SO4 2-.
Chemistry,Oxidation & Reduction,109,Balance the following redox equation: MnO4- + Fe2+ + H+ → Mn2+ + Fe3+ + H2O. The coefficient of Fe2+ is,1,3,5,10,C,Mn changes from +7 to +2: gain of 5e-. Fe changes from +2 to +3: loss of 1e-. To balance electrons: 1 MnO4- requires 5 Fe2+. Balanced: MnO4- + 5Fe2+ + 8H+ → Mn2+ + 5Fe3+ + 4H2O.,A: 1 Fe2+ would not balance the 5 electrons from Mn reduction. B: 3 is insufficient — Mn needs 5 electrons. D: 10 Fe2+ would require 2 MnO4-.
Chemistry,Oxidation & Reduction,110,Disproportionation is a reaction in which,two different elements are both oxidized,the same element is simultaneously oxidized and reduced,oxidation occurs without corresponding reduction,reduction occurs in the absence of an oxidizing agent,B,Disproportionation is a special redox reaction where the same element in the same compound undergoes both oxidation and reduction simultaneously. For example: 2H2O2 → 2H2O + O2 (O goes from -1 to -2 and 0).,"A: Disproportionation involves ONE element in two oxidation changes. C: Every oxidation must be accompanied by a reduction (electron conservation). D: In any redox reaction, an oxidizing agent is always present."
Chemistry,Oxidation & Reduction,111,The oxidation number of chlorine in NaClO4 is,-1,+1,+5,+7,D,"In NaClO4: Na = +1, O = -2. So +1 + Cl + 4(-2) = 0. +1 + Cl - 8 = 0. Cl = +7.","A: -1 is Cl in HCl, NaCl. B: +1 is Cl in NaClO (sodium hypochlorite). C: +5 is Cl in NaClO3 (sodium chlorate)."
Chemistry,Oxidation & Reduction,112,Which of the following is a reducing agent?,KMnO4,K2Cr2O7,SO2,Cl2,C,"SO2 is a reducing agent — it can be oxidized to SO3 (or SO4 2-), donating electrons to an oxidizing agent. For example, SO2 reduces KMnO4 and bleaches flower pigments.",A: KMnO4 is a strong OXIDIZING agent. B: K2Cr2O7 is a strong OXIDIZING agent. D: Cl2 is an oxidizing agent (though Cl2 can act as reducing agent in reactions with F2).
Chemistry,Electrolysis,113,"During the electrolysis of dilute sulphuric acid, the gas produced at the anode is",Hydrogen,Sulphur dioxide,Oxygen,Sulphur trioxide,C,"At the anode (positive electrode), OH- ions (from water ionization) are oxidized: 4OH- → 2H2O + O2 + 4e-. Oxygen gas is produced at the anode. Hydrogen is produced at the cathode.",A: Hydrogen is produced at the CATHODE: 2H+ + 2e- → H2. B: SO2 is not produced in electrolysis of dilute H2SO4. D: SO3 is not a product of this electrolysis.
Chemistry,Electrolysis,114,Faraday's first law of electrolysis states that,the mass of substance deposited is proportional to the time of electrolysis only,the mass of substance deposited at an electrode is directly proportional to the quantity of electricity passed,1 Faraday deposits 1 gram of any element,the mass deposited depends on temperature and pressure,B,"Faraday's First Law: m ∝ Q (where Q = charge in Coulombs = current × time). The more charge passed, the greater the mass deposited.","A: Mass depends on both current AND time (Q = It), not time alone. C: 1 Faraday (96500 C) deposits 1 mole of electrons worth of substance, varying by element and valency. D: Temperature and pressure are not factors in Faraday's laws."
Chemistry,Electrolysis,115,"In the electrolysis of aqueous CuSO4 using copper electrodes, the anode",remains unchanged as O2 is produced,dissolves as Cu atoms lose electrons to replenish Cu2+ ions,gains mass as Cu2+ is deposited on it,produces H2 gas,B,"With copper electrodes, the copper anode dissolves: Cu → Cu2+ + 2e-. This replenishes the Cu2+ ions depleted at the cathode (where Cu is deposited). The concentration of CuSO4 stays constant. This is the basis of copper refining.","A: With inert electrodes (Pt/C), O2 is produced at the anode, but with Cu electrodes, Cu dissolves. C: The CATHODE gains mass (Cu deposits). D: H2 is not produced in this electrolysis."
Chemistry,Electrolysis,116,"How much copper is deposited when 2 Faradays of electricity is passed through CuSO4 solution? (Cu = 64, 1F = 96500C)",32g,64g,128g,16g,B,Cu2+ + 2e- → Cu. 2 moles of electrons (2F) deposits 1 mole of Cu = 64g.,A: 32g = 1F of electricity for Cu (incorrect; Cu is divalent so 2F deposits 1 mol). C: 128g would require 4F. D: 16g would require 0.5F.
Chemistry,Electrolysis,117,The electrochemical series is used to predict,the rate of a chemical reaction,the relative tendency of metals to lose electrons (reactivity) and electrode potential,the boiling points of metals,the solubility of metal salts,B,"The electrochemical series lists metals in order of their standard electrode potentials (E°), which corresponds to their tendency to be oxidized (lose electrons). More negative E° = more easily oxidized = more reactive.","A: Reaction rates are determined by kinetics, not electrode potential. C: Boiling points are physical properties unrelated to the electrochemical series. D: Solubility is determined by solubility product, not electrode potential."
Chemistry,Electrolysis,118,Corrosion of iron is accelerated by the presence of,dry air only,moisture (water) and oxygen together,nitrogen gas,pure carbon dioxide,B,"Rusting (corrosion of iron) requires BOTH water and oxygen. In dry air (no moisture) or deoxygenated water, iron does not rust significantly. The electrochemical corrosion requires both H2O (electrolyte) and O2.",A: Dry air (no moisture) does not cause rusting. C: Nitrogen is inert and does not cause corrosion. D: CO2 alone without moisture is insufficient.
Chemistry,Electrolysis,119,"In the industrial extraction of aluminium, the ore (purified bauxite/Al2O3) is dissolved in molten cryolite because","cryolite reduces the melting point of Al2O3, making electrolysis feasible",cryolite is a better source of aluminium,cryolite increases the electrical conductivity of Al2O3,cryolite prevents oxidation of aluminium,A,"Al2O3 has an extremely high melting point (~2072°C). Dissolving it in molten cryolite (Na3AlF6) reduces the operating temperature to about 900-1000°C, making the process economically feasible.","B: Cryolite (Na3AlF6) contains very little Al. C: The purpose is to reduce melting point, though it does also affect conductivity. D: Cryolite does not primarily function as an anti-oxidant."
