"Subject","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation"
"Physics","Waves and Sound","Beat frequency is produced when two sound waves of frequencies 440 Hz and 444 Hz are sounded together. The beat frequency is","884 Hz","4 Hz","440 Hz","2 Hz","B","Correct: Beat frequency = |f₁ − f₂| = |440 − 444| = 4 Hz, the rate at which constructive interference alternates, heard as 4 pulses of loudness per second. A is wrong because 884 Hz = f₁ + f₂ gives the sum, a different quantity from beats. C is wrong because 440 Hz is just one of the two original frequencies. D is wrong because 2 Hz halves the correct result without any valid basis."
"Physics","Waves and Sound","The Doppler effect explains the change in observed frequency when","There is relative motion between the source and observer","The amplitude of the wave changes","Two waves interfere with each other","A wave is reflected from a surface","A","Correct: The Doppler effect describes how, when a source moves toward an observer, waves are compressed (shorter wavelength, higher frequency), while moving away stretches the waves (longer wavelength, lower frequency); this is used in radar, astronomy (red shift), and medical ultrasound. B is wrong because amplitude change affects loudness or intensity, not frequency. C is wrong because interference involves the superposition of waves, not a frequency shift. D is wrong because reflection from a surface can cause an echo, but the frequency change is Doppler-related only if there is also relative motion."
"Physics","Waves and Sound","Sound travels faster in","Vacuum","Air","Water","Steel","D","Correct: The speed of sound increases with the elasticity and density of the medium, following the order solids > liquids > gases; in steel it's roughly 5000 ms⁻¹, versus about 1500 ms⁻¹ in water and 340 ms⁻¹ in air. A is wrong because sound cannot travel in a vacuum at all — it requires a material medium. B is wrong because air, a low-density gas, is actually the slowest medium for sound among the options given. C is wrong because water, while faster than air, is still slower than steel."
"Physics","Waves and Sound","An echo is heard 2 seconds after a sound is produced. If the speed of sound in air is 340 ms⁻¹, the distance to the reflecting surface is","340 m","680 m","170 m","85 m","A","Correct: Total distance = speed × time = 340 × 2 = 680 m, which is the round-trip distance to the wall and back, so the distance to the wall = 680/2 = 340 m. B is wrong because 680 m is the total round-trip distance, not the distance to the wall alone. C is wrong because 170 m = 340/2 mistakenly uses only 1 second instead of the full round-trip calculation. D is wrong because 85 m = 340/4 has no valid basis."
"Physics","Waves and Sound","The pitch of a musical note is determined by its","Amplitude","Intensity","Frequency","Waveform","C","Correct: Pitch is the perceptual attribute of sound related to frequency — higher frequency means higher pitch, while amplitude determines loudness (and intensity), and waveform determines quality (timbre). A is wrong because amplitude determines loudness/intensity, not pitch. B is wrong because intensity determines loudness (measured in decibels), not pitch. D is wrong because waveform (the shape of the wave) determines the quality or timbre of a sound, not its pitch."
"Physics","Waves and Sound","A closed pipe of length 0.5 m resonates in its fundamental mode. The frequency of the note produced is (speed of sound = 340 ms⁻¹)","170 Hz","340 Hz","680 Hz","85 Hz","A","Correct: For a closed pipe (one open end, one closed end), fundamental frequency f = v/(4L) = 340/(4 × 0.5) = 340/2 = 170 Hz, since L = λ/4 for such a pipe. B is wrong because 340 Hz uses f = v/(2L), the formula for an OPEN pipe instead. C is wrong because 680 Hz = v/L skips the factor of 4 entirely. D is wrong because 85 Hz = v/(8L) uses the wrong harmonic."
"Physics","Waves and Sound","Reverberation differs from echo in that","Reverberation is heard as a distinct separate sound","Reverberation is the persistence of sound due to multiple reflections in an enclosed space","Echo is caused by multiple reflections","Reverberation occurs outdoors only","B","Correct: Reverberation involves multiple rapid reflections that blend together, prolonging the original sound (heard in halls and rooms), while echo is a distinct separate reflection heard after a time delay, requiring sufficient distance to the reflecting surface. A is wrong because a distinct separate sound describes an ECHO, not reverberation. C is wrong because multiple reflections in an enclosed space cause reverberation, whereas echoes can arise from a single reflection. D is wrong because reverberation occurs in enclosed indoor spaces, not outdoors."
"Physics","Waves and Sound","The fundamental frequency of a vibrating string is increased by","Increasing the length of the string","Decreasing the tension in the string","Increasing the tension or decreasing the length or using a lighter string","Increasing the mass per unit length","C","Correct: The fundamental frequency of a string is f = (1/2L)√(T/μ), so frequency increases with higher tension T, shorter length L, or lower mass per unit length μ (a lighter string). A is wrong because increasing length actually DECREASES frequency, since f ∝ 1/L. B is wrong because decreasing tension DECREASES frequency, since f ∝ √T. D is wrong because increasing the mass per unit length μ DECREASES frequency, since f ∝ 1/√μ."
"Physics","Light Energy and Optics","The image formed by a pinhole camera is","Virtual, upright, and magnified","Real, inverted, and diminished or magnified depending on distances","Virtual, inverted, and always diminished","Real, upright, and always magnified","B","Correct: A pinhole camera forms a real, inverted image, with the size depending on the ratio of image distance to object distance — if image distance exceeds object distance, the image is magnified. A is wrong because virtual and upright images are characteristic of plane mirror images, not pinhole cameras. C is wrong because the image formed by a pinhole camera is real (it forms on a screen), not virtual. D is wrong because a real image from a pinhole camera is always inverted, never upright."
"Physics","Light Energy and Optics","A concave mirror has a focal length of 15 cm. An object is placed 10 cm in front of it. The image is","Real, inverted, at 30 cm behind the mirror","Virtual, upright, 30 cm behind the mirror","At infinity","Real at 6 cm in front","B","Correct: Using 1/f = 1/v + 1/u with f = −15 cm and u = −10 cm: 1/v = 1/f − 1/u = −1/15 + 1/10 = 1/30, so v = +30 cm, meaning the image is behind the mirror (virtual); since the object is inside the focal length, the image is virtual, upright, and magnified. A is wrong because real, inverted images form only when the object is beyond the focal point — here the object at 10 cm is inside f = 15 cm. C is wrong because the image is at infinity only when the object is exactly at the focal point. D is wrong because a real image would require v to be negative, in front of the mirror."
"Physics","Light Energy and Optics","The laws of reflection state that the angle of incidence equals the angle of reflection, and both angles are measured","From the reflecting surface","From the normal to the surface at the point of incidence","From the horizontal","From each other","B","Correct: Both the angle of incidence and angle of reflection are measured from the NORMAL (perpendicular) to the surface at the point of incidence, not from the surface itself. A is wrong because angles measured from the surface would be the complement (90° − θ) of the correct angles. C is wrong because the horizontal is irrelevant, since the normal's direction depends on the surface's orientation. D is wrong because the angles are measured from the normal, not from each other directly."
"Physics","Light Energy and Optics","A convex mirror always forms images that are","Real, inverted, and diminished","Virtual, upright, and diminished regardless of object position","Real, upright, and magnified","Virtual, inverted, and magnified","B","Correct: A convex (diverging) mirror always forms virtual, upright, and diminished images for all real object positions, which is why it gives a wide field of view and is used as a rear-view mirror. A is wrong because real, inverted images are formed by concave mirrors when the object is beyond the focus, not by convex mirrors. C is wrong because real upright images don't form with any mirror — real images from mirrors are always inverted. D is wrong because virtual images from convex mirrors are always upright and smaller, never inverted."
"Physics","Light Energy and Optics","When light passes from air into glass, it bends toward the normal because","Light speeds up in glass","Light slows down in glass (denser medium) and the wavefront is refracted","The wavelength increases in glass","The frequency changes in glass","B","Correct: When light enters a denser medium like glass, it slows down; the part of the wavefront entering the glass first slows first, causing the wave to bend toward the normal (refractive index n = c/v_medium > 1 for glass). A is wrong because light actually SLOWS DOWN, rather than speeding up, in a denser medium. C is wrong because wavelength DECREASES, not increases, in a denser medium since λ = v/f and v decreases. D is wrong because frequency remains constant as light crosses a boundary — it's wavelength and speed that change."
"Physics","Light Energy and Optics","Total internal reflection occurs when","Light travels from less dense to more dense medium","The angle of incidence is less than the critical angle","Light travels from a denser medium and the angle of incidence exceeds the critical angle","The refractive index is less than 1","C","Correct: Total internal reflection occurs when light travels from a denser to a less dense medium AND the angle of incidence exceeds the critical angle, causing all light to be reflected back into the denser medium with none refracted. A is wrong because light must travel FROM a denser medium TO a less dense one — not the other way around. B is wrong because the angle must EXCEED the critical angle; below it, refraction still occurs normally. D is wrong because refractive index is greater than 1 for a denser medium — n < 1 doesn't produce total internal reflection."
"Physics","Light Energy and Optics","The critical angle for glass-air interface is related to refractive index n by","sin C = n","sin C = 1/n","cos C = n","tan C = n","B","Correct: At the critical angle C, the refracted ray travels exactly along the glass-air boundary (90°); using Snell's law, n sin C = 1 × sin 90° = 1, so sin C = 1/n. A is wrong because sin C = n would give C > 90° for n > 1, which is physically impossible. C is wrong because a cosine relation has no derivation from Snell's law in this context. D is wrong because a tangent relation has no basis in the refraction equations."
"Physics","Light Energy and Optics","A converging lens has a focal length of 20 cm. An object is placed 30 cm from the lens. The image distance is","60 cm on the same side as the object","60 cm on the opposite side from the object","12 cm","120 cm","B","Correct: Using 1/f = 1/v + 1/u with sign convention (u = −30, f = +20): 1/v = 1/20 − 1/30 = 3/60 − 2/60 = 1/60, giving v = +60 cm, meaning the image forms on the opposite side of the lens from the object (a real image). A is wrong because being on the same side as the object would indicate a virtual image, but v = +60 places the image on the opposite side (real). C is wrong because 12 cm = (20×30)/(20+30) uses the wrong formula. D is wrong because 120 cm results from an arithmetic error."
"Physics","Light Energy and Optics","A short-sighted (myopic) person cannot see distant objects clearly because","The image of distant objects forms behind the retina","The image of distant objects forms in front of the retina due to an over-curved lens or elongated eyeball","The pupil cannot dilate sufficiently","The retina is too sensitive","B","Correct: Myopia occurs because the eye's lens is too curved or the eyeball too long, so parallel rays from distant objects converge BEFORE reaching the retina; it's corrected with a diverging (concave) lens. A is wrong because an image forming behind the retina describes hyperopia (long-sightedness), not myopia. C is wrong because pupil dilation affects the amount of light entering, not the focusing of the image. D is wrong because retinal sensitivity is unrelated to refractive errors like myopia."
"Physics","Light Energy and Optics","Dispersion of white light by a prism occurs because","The prism is denser than air","Different colors (wavelengths) have different refractive indices in glass, causing different degrees of bending","White light contains only red and violet components","The prism reflects different colors at different angles","B","Correct: In dispersion, violet light has a higher refractive index in glass than red light, so it bends more; white light thus separates into a full spectrum (ROYGBIV), a phenomenon known as chromatic dispersion. A is wrong because while the prism being denser causes overall refraction, dispersion specifically requires different refractive indices for different wavelengths. C is wrong because white light actually contains all visible colors (ROYGBIV), not just red and violet. D is wrong because it's refraction, not reflection, that separates the colors in a prism."
"Physics","Light Energy and Optics","The primary colors of light are","Red, yellow, and blue","Red, green, and blue","Red, orange, and violet","Yellow, cyan, and magenta","B","Correct: The primary colors of LIGHT, based on additive mixing, are Red, Green, and Blue (RGB); mixing all three gives white light, distinct from the primary pigment colors used in art. A is wrong because red, yellow, and blue are primary PIGMENT colors used in subtractive mixing, not light primaries. C is wrong because orange and violet are secondary/tertiary colors within the visible spectrum, not primaries. D is wrong because yellow, cyan, and magenta are actually the primary colors used in printing/subtractive mixing."
"Physics","Light Energy and Optics","The electromagnetic wave with the shortest wavelength is","Radio waves","Visible light","X-rays","Gamma rays","D","Correct: In the electromagnetic spectrum, wavelength increases (and frequency decreases) in the order: Gamma rays < X-rays < UV < Visible < IR < Microwaves < Radio waves, so gamma rays have the shortest wavelength and highest energy. A is wrong because radio waves actually have the LONGEST wavelength, the opposite of what's asked. B is wrong because visible light sits in the middle of the EM spectrum. C is wrong because X-rays, while shorter than visible light, are still longer than gamma rays."
"Physics","Light Energy and Optics","The refractive index of glass is 1.5. The speed of light in glass is (c = 3 × 10⁸ ms⁻¹)","4.5 × 10⁸ ms⁻¹","2.0 × 10⁸ ms⁻¹","1.5 × 10⁸ ms⁻¹","3.0 × 10⁸ ms⁻¹","B","Correct: n = c/v_glass, so v_glass = c/n = (3 × 10⁸)/1.5 = 2.0 × 10⁸ ms⁻¹. A is wrong because 4.5 × 10⁸ = n × c multiplies instead of dividing. C is wrong because 1.5 × 10⁸ = c/2n incorrectly divides by 2n. D is wrong because 3.0 × 10⁸ is simply the speed in vacuum, not in glass."
"Physics","Light Energy and Optics","The power of a lens is +4 D (dioptres). Its focal length is","4 m","0.4 m","0.25 m","25 m","C","Correct: Power P = 1/f (in metres), so f = 1/P = 1/4 = 0.25 m = 25 cm; the positive power indicates a converging (convex) lens. A is wrong because 4 m confuses f = P instead of the correct relation f = 1/P. B is wrong because 0.4 m = 1/2.5, not 1/4. D is wrong because 25 m = 1/0.04 likely results from a unit confusion."
"Physics","Light Energy and Optics","A person can see objects clearly only between 25 cm and 150 cm. This person has","Only myopia","Only hyperopia","Both myopia (cannot see beyond 150 cm) and presbyopia","Normal vision","C","Correct: Normal near point is 25 cm and far point is infinity; this person's far point is limited to 150 cm, indicating myopia (unable to focus beyond 150 cm), and the near-point limitation also suggests presbyopia (loss of accommodation). A is wrong because the additional near-point limitation suggests more than just simple myopia alone. B is wrong because hyperopia means difficulty seeing near objects, yet this person can see clearly at 25 cm. D is wrong because normal vision has a far point at infinity, not limited to 150 cm."
"Physics","Light Energy and Optics","The image formed by a concave lens is always","Real, inverted, and between F and 2F","Virtual, upright, and diminished for real objects","Real and magnified beyond 2F","Virtual and magnified","B","Correct: A concave (diverging) lens ALWAYS forms virtual, upright, and diminished images for real objects, regardless of the object's position, similar in behavior to a convex mirror. A is wrong because real, inverted images between F and 2F are formed by convex (converging) lenses, not concave ones. C is wrong because magnified real images beyond 2F require a converging lens with the object inside F. D is wrong because virtual images from a concave lens are always smaller, never magnified."
"Physics","Light Energy and Optics","Optical fibers work on the principle of","Regular reflection","Total internal reflection","Diffraction","Polarization","B","Correct: Optical fibers carry light signals over long distances via total internal reflection; light hits the fiber wall at an angle greater than the critical angle and is repeatedly reflected back into the fiber. A is wrong because regular reflection occurs at polished flat surfaces, which isn't applicable to how fibers guide light. C is wrong because diffraction would cause light to spread out and escape the fiber, defeating its purpose. D is wrong because polarization is a property of transverse waves, not the mechanism by which fiber optics function."
"Physics","Light Energy and Optics","In a simple astronomical telescope in normal adjustment, the final image is formed","At the near point of the eye","At the far point (infinity)","Between F and 2F of the eyepiece","At the objective lens","B","Correct: In normal adjustment, a telescope is set so the final image forms at infinity, with parallel rays entering the eye, giving the least eye strain for prolonged observation. A is wrong because an image at the near point corresponds to a telescope adjusted for near-point viewing, which gives maximum magnification but causes eye strain. C is wrong because an image between F and 2F applies to an object position for a magnifying glass, not a telescope in normal adjustment. D is wrong because the objective lens forms only the intermediate image, not the final image seen by the eye."
"Physics","Light Energy and Optics","A rainbow is formed by","Reflection of sunlight from clouds","Refraction and internal reflection of sunlight in raindrops with dispersion of colors","Diffraction of sunlight through water droplets","Polarization of sunlight","B","Correct: A rainbow forms when sunlight enters a raindrop, is refracted (dispersed), internally reflected at the back of the drop, and refracted again on exit, with different colors emerging at different angles due to their different refractive indices. A is wrong because reflection from clouds actually produces halos or coronas, not rainbows. C is wrong because diffraction produces different patterns, like iridescence, and isn't the primary mechanism for rainbows. D is wrong because polarization is only a secondary effect of rainbow light — it's not the formation mechanism."
"Physics","Electrostatics","Two point charges of +3 μC and +12 μC are separated by 0.3 m. The force between them is (k = 9 × 10⁹ Nm²C⁻²)","3.6 N","36 N","0.36 N","360 N","A","Correct: F = kq₁q₂/r² = (9 × 10⁹ × 3 × 10⁻⁶ × 12 × 10⁻⁶)/(0.3)² = (9 × 10⁹ × 36 × 10⁻¹²)/0.09 = 3.6 N. B is wrong because 36 N contains an arithmetic error, likely from using r = 0.1 m instead of 0.3 m. C is wrong because 0.36 N is off by a factor of 10. D is wrong because 360 N is off by a factor of 100."
"Physics","Electrostatics","Charging by induction produces a charge on the conductor that is","The same sign as the inducing charge","Opposite in sign to the inducing charge, without contact","Zero net charge throughout","Distributed only on the surface facing the inducing charge","B","Correct: In charging by induction, a charged object is brought near a conductor; opposite charges accumulate near it while like charges move to the far end, and if the conductor is then earthed and the inducing charge removed, it retains a charge opposite to the inducing charge. A is wrong because a charge of the same sign as the inducing charge is instead produced by charging by CONTACT (conduction). C is wrong because the net charge is not zero on the induced conductor once the induction process is complete. D is wrong because after earthing during induction, the charge redistributes over the entire conductor, not just one facing surface."
"Physics","Electrostatics","The electric field lines between two oppositely charged parallel plates are","Curved and pointing from negative to positive plate","Uniform, parallel, and pointing from positive to negative plate","Radially outward from each plate","Curved, pointing from positive to negative only near the edges","B","Correct: Between infinite parallel plates with opposite charges, the electric field is uniform in both magnitude and direction, with field lines running parallel and straight, pointing from the positive plate to the negative plate. A is wrong because field lines point FROM positive TO negative, i.e. in the direction of force on a positive test charge, not the reverse. C is wrong because a radial field exists around isolated point charges, not between parallel plates. D is wrong because the field is uniform in the middle region — only near the edges does it become non-uniform due to fringing effects."
"Physics","Electrostatics","A charge of 2 μC is placed at a point where the electric field intensity is 5 × 10⁴ NC⁻¹. The force on the charge is","0.1 N","2.5 × 10¹⁰ N","1.0 N","0.01 N","A","Correct: F = qE = 2 × 10⁻⁶ × 5 × 10⁴ = 10 × 10⁻² = 0.1 N. B is wrong because 2.5 × 10¹⁰ = E/q inverts the correct formula. C is wrong because 1.0 N results from an arithmetic error. D is wrong because 0.01 N includes an extra unwarranted factor of 10⁻¹."
"Physics","Electrostatics","Lightning conductors protect buildings from lightning by","Preventing clouds from forming charge","Slowly discharging the electric field between cloud and ground via a conducting path, preventing a sudden discharge","Reflecting lightning away from the building","Insulating the building from the ground","B","Correct: A lightning conductor, a pointed spike on the roof connected to earth, continuously leaks charge between cloud and earth, reducing the potential difference; if lightning does strike, the conductor provides a low-resistance path to earth, protecting the building. A is wrong because lightning conductors cannot prevent charge from forming in clouds. C is wrong because lightning conductors do not reflect lightning — they conduct the charge safely to earth. D is wrong because lightning conductors must be CONNECTED to earth, providing a conducting path rather than insulation."
"Physics","Electrostatics","The gold-leaf electroscope detects charge by","The attraction between the gold leaf and the metal rod","The divergence of the gold leaf from the metal plate due to like charges repelling each other","The current flowing through the gold leaf","The magnetic effect of charge","B","Correct: When charge is applied to the electroscope, it spreads to the metal plate and gold leaf; since both now carry like charges, they repel each other and the gold leaf diverges from the plate, with greater charge producing greater divergence. A is wrong because like charges on the leaf and plate repel, they don't attract. C is wrong because a gold-leaf electroscope measures static charge, not a flowing current. D is wrong because electrostatic charge detection has nothing to do with magnetism."
"Physics","Electrostatics","The electric potential at a point is defined as","The force per unit positive charge at that point","The work done per unit positive charge in bringing a small positive test charge from infinity to that point","The electric field intensity at that point","The charge per unit area","B","Correct: Electric potential V = W/q, the work done per unit positive charge in bringing a small positive test charge from infinity to that point (V = kQ/r for a point charge), measured in volts. A is wrong because force per unit charge is actually electric field intensity (E), not potential. C is wrong because electric field E is force per charge (units of V/m), which is not the same quantity as potential (V). D is wrong because charge per unit area is instead the surface charge density (σ)."
"Physics","Capacitors","Three capacitors of capacitances 2 μF, 4 μF, and 6 μF are connected in parallel. The total capacitance is","12 μF","1.09 μF","0.92 μF","24 μF","A","Correct: For capacitors in parallel, C_total = C₁ + C₂ + C₃ = 2 + 4 + 6 = 12 μF, since parallel capacitances simply add directly. B is wrong because 1.09 μF is instead the series combination value (1/C = 1/2 + 1/4 + 1/6 ≈ 1/1.09). C is wrong because 0.92 μF results from an error in a series-style calculation. D is wrong because 24 μF is the product of the values, which isn't relevant to a parallel combination."
"Physics","Capacitors","The energy stored in a capacitor of capacitance C charged to voltage V is","CV","½CV²","C²V","2CV²","B","Correct: Energy stored E = ½CV² = ½QV = Q²/2C, representing the energy stored in the electric field between the plates. A is wrong because CV equals the charge Q, not the energy. C is wrong because C²V has the wrong dimensions to represent energy. D is wrong because 2CV² simply doubles the correct formula."
"Physics","Capacitors","The capacitance of a parallel plate capacitor is INCREASED by","Increasing the distance between the plates","Decreasing the area of the plates","Inserting a dielectric material between the plates","Increasing the voltage applied","C","Correct: C = εA/d = ε₀εᵣA/d, so capacitance increases when the dielectric constant εᵣ increases (by inserting a dielectric), when area A increases, or when plate separation d decreases. A is wrong because increasing distance d actually DECREASES capacitance, since C ∝ 1/d. B is wrong because decreasing area DECREASES capacitance, since C ∝ A. D is wrong because voltage does not affect capacitance at all — C = Q/V, with V and Q changing proportionally to keep C constant."
"Physics","Capacitors","Capacitors are used in tuning circuits of radios because","They store energy for the radio","Variable capacitors can change the resonant frequency to select different stations","They block direct current","They amplify signals","B","Correct: In an LC tuning circuit, the resonant frequency f = 1/(2π√LC), so changing the capacitance using a variable capacitor changes the resonant frequency, allowing selection of different radio stations. A is wrong because while capacitors can store energy, this isn't their primary function in a tuning circuit. C is wrong because blocking DC is a general function of capacitors, but it's not why they're used specifically in tuning circuits. D is wrong because it's transistors, not capacitors, that amplify signals."
"Physics","Capacitors","Two capacitors of 3 μF and 6 μF are connected in series. The equivalent capacitance is","9 μF","2 μF","18 μF","0.5 μF","B","Correct: For capacitors in series, 1/C = 1/C₁ + 1/C₂ = 1/3 + 1/6 = 2/6 + 1/6 = 3/6 = 1/2, so C = 2 μF. A is wrong because 9 μF = C₁ + C₂ mistakenly applies the parallel formula. C is wrong because 18 μF = C₁ × C₂ is just the product, without the sum in the denominator that the series formula requires. D is wrong because 0.5 μF = 1/(C₁ + C₂) inverts the calculation incorrectly."
"Physics","Electric Cells & Current Electricity","The internal resistance of a cell is 0.5 Ω and its emf is 2 V. When connected to an external resistance of 1.5 Ω, the terminal voltage is","1.5 V","2.0 V","0.5 V","1.0 V","A","Correct: Current I = EMF/(R + r) = 2/(1.5 + 0.5) = 2/2 = 1 A, so terminal voltage = EMF − Ir = 2 − 1 × 0.5 = 1.5 V (equivalently V = IR = 1 × 1.5 = 1.5 V). B is wrong because 2.0 V is the emf itself, not the terminal voltage, which must account for the internal resistance drop. C is wrong because 0.5 V = Ir is the lost voltage (voltage drop across internal resistance), not the terminal voltage. D is wrong because 1.0 V results from an arithmetic error."
"Physics","Electric Cells & Current Electricity","Ohm's law states that the current through a conductor is proportional to the potential difference across it, provided","The material is a semiconductor","The physical conditions (especially temperature) remain constant","The current is alternating","The conductor is a liquid","B","Correct: Ohm's law, V = IR with R constant, holds only when the physical conditions, particularly temperature, remain unchanged, since temperature changes alter resistance, making the law invalid for non-ohmic conductors. A is wrong because semiconductors actually do not strictly obey Ohm's law — they are non-ohmic. C is wrong because Ohm's law applies to both AC and DC for ohmic conductors, not specifically to alternating current. D is wrong because Ohm's law primarily applies to metallic conductors; electrolytes may not obey it."
"Physics","Electric Cells & Current Electricity","Three resistors of 2 Ω, 3 Ω, and 6 Ω are connected in parallel. The effective resistance is","11 Ω","1 Ω","0.09 Ω","6 Ω","B","Correct: 1/R = 1/2 + 1/3 + 1/6 = 3/6 + 2/6 + 1/6 = 6/6 = 1, so R = 1 Ω. A is wrong because 11 Ω = 2 + 3 + 6 mistakenly applies the series formula. C is wrong because 0.09 Ω results from an arithmetic error. D is wrong because 6 Ω uses only one of the resistor values instead of combining all three."
"Physics","Electric Cells & Current Electricity","The resistivity of a material is defined as the resistance of","A sample of the material of any size","A conductor of unit length and unit cross-sectional area","A conductor 1 m long and 1 cm² cross-section","Any conductor at 0°C","B","Correct: Resistivity ρ = RA/L is the resistance of a conductor with unit length (1 m) and unit cross-sectional area (1 m²); it is a material property, independent of the sample's actual size, with units of Ω·m. A is wrong because resistivity is size-independent — it's specifically a material property, not tied to 'any size.' C is wrong because the standard SI reference uses 1 m² cross-section, not 1 cm². D is wrong because resistivity is defined at a standard reference temperature in general, but 0°C specifically is not part of the definition — temperature affects resistivity but doesn't define it."
"Physics","Electric Cells & Current Electricity","In Kirchhoff's current law, the sum of currents entering a junction equals","Zero","The sum of currents leaving the junction","The EMF of the circuit","The voltage at the junction","B","Correct: Kirchhoff's Current Law states that the algebraic sum of currents at any junction = 0, equivalently expressed as ΣI_in = ΣI_out, based on the conservation of charge. A is wrong because the sum is zero only when currents entering are algebraically combined with currents leaving as negative — option B states the relationship more directly. C is wrong because EMF is not related to the current balance at a junction. D is wrong because voltage at a junction is determined by Kirchhoff's Voltage Law, not the current law."
"Physics","Electric Cells & Current Electricity","A potentiometer is preferred over a voltmeter for measuring EMF because","It is cheaper and easier to use","It draws no current from the cell when balanced, so it measures true EMF","It has a lower resistance than a voltmeter","It works only with AC","B","Correct: At the balance point of a potentiometer, no current flows from the cell being tested, so there's no internal resistance drop (Ir = 0), meaning terminal voltage equals the true EMF; a voltmeter, by contrast, draws current and causes a voltage drop, giving a reading less than the true EMF. A is wrong because cost and ease of use are not the technical advantage being described. C is wrong because a potentiometer effectively has INFINITE resistance at balance, the opposite of having a lower resistance. D is wrong because potentiometers work with both AC and DC, though they are primarily used with DC."
"Physics","Electric Cells & Current Electricity","The meter bridge (Wheatstone bridge) is used to measure","EMF of a cell","Unknown resistance by comparing with a known resistance at balance","Capacitance","Frequency of AC","B","Correct: At balance, P/Q = R/S (where S is the unknown resistance); the meter bridge is a practical form of Wheatstone bridge that uses a resistance wire to find the balance point where the galvanometer reads zero, allowing calculation of the unknown resistance. A is wrong because EMF is measured with a potentiometer, not a meter bridge. C is wrong because capacitance is measured with an LCR meter or an AC bridge. D is wrong because frequency measurement requires an oscilloscope or a frequency counter."
"Physics","Electric Cells & Current Electricity","A heater rated 500 W operates at 250 V. The current drawn and resistance are","2 A and 125 Ω","0.5 A and 500 Ω","5 A and 50 Ω","2 A and 250 Ω","A","Correct: P = IV, so I = P/V = 500/250 = 2 A, and R = V/I = 250/2 = 125 Ω (equivalently R = V²/P = 250²/500 = 125 Ω). B is wrong because 0.5 A = V/P inverts the correct formula. C is wrong because 5 A = P/50V uses an incorrect voltage value. D is wrong because R = 250 Ω confuses the voltage value with the resistance itself."
"Physics","Electric Cells & Current Electricity","The domestic wiring system uses parallel connection because","It is cheaper to wire","All appliances receive the same full voltage and can be independently controlled","The current is the same through all appliances","Parallel circuits have higher resistance","B","Correct: In parallel wiring, all devices receive the same supply voltage, each device can be switched on or off independently, and if one fails, the others continue working — series wiring would instead reduce voltage for each device. A is wrong because parallel wiring actually uses more wire, making it more expensive, not cheaper. C is wrong because having the same current through all components is a property of SERIES circuits, not parallel ones. D is wrong because parallel circuits have LOWER effective resistance than series circuits, not higher."
"Physics","Electric Cells & Current Electricity","The fuse in an electrical circuit is designed to","Increase current flow","Melt and break the circuit when current exceeds a safe limit, protecting the circuit","Measure the current in the circuit","Store electrical energy","B","Correct: A fuse is a thin wire with a low melting point; when current exceeds the rated value, the fuse heats up and melts, breaking the circuit and preventing damage to appliances or fire hazards. A is wrong because fuses limit, rather than increase, current flow. C is wrong because ammeters measure current, whereas fuses serve to protect circuits. D is wrong because capacitors store electrical energy — fuses are strictly protective devices."
"Physics","Magnetism & Electromagnetism","The direction of the force on a current-carrying conductor in a magnetic field is given by","Fleming's right-hand rule","Fleming's left-hand rule","The right-hand screw rule","The right-hand grip rule","B","Correct: Fleming's left-hand rule (the motor rule) uses the thumb for thrust/force, index finger for field (B), and middle finger for conventional current direction, and is used for motors and current-in-field force problems. A is wrong because Fleming's right-hand rule is instead the generator rule, used for determining induced EMF direction. C is wrong because the right-hand screw rule determines the direction of B around a straight current-carrying wire, a different application. D is wrong because the right-hand grip rule also determines the direction of B around a conductor, not the force on it."
"Physics","Magnetism & Electromagnetism","A galvanometer is converted to an ammeter by connecting","A high resistance in series","A low resistance (shunt) in parallel","A capacitor in series","An inductor in parallel","B","Correct: Ammeter conversion involves connecting a shunt, a low resistance, in parallel with the galvanometer, so most of the current bypasses the galvanometer through the shunt, allowing measurement of larger currents while protecting the galvanometer. A is wrong because a high resistance in series instead converts a galvanometer to a VOLTMETER, not an ammeter. C is wrong because a capacitor in series would block DC, making it useless for DC ammeters. D is wrong because inductors are not used in the process of galvanometer conversion."
"Physics","Magnetism & Electromagnetism","Lenz's law states that the induced current in a circuit is in a direction that","Opposes the change in flux that causes it","Is always clockwise","Amplifies the motion causing the induction","Is perpendicular to the magnetic flux","A","Correct: Lenz's law is a statement of energy conservation in electromagnetism — the induced current opposes the change that causes it; if flux increases, the induced current creates a field opposing that increase, which is why induction requires work. B is wrong because the direction of induced current is not always clockwise — it depends on the specific geometry of the flux change. C is wrong because amplifying the motion would violate conservation of energy — Lenz's law specifically ensures opposition. D is wrong because induced current flows in a circuit loop, and describing it as perpendicular to flux misrepresents the law."
"Physics","Magnetism & Electromagnetism","Faraday's law of electromagnetic induction states that the induced EMF is","Proportional to the current in the circuit","Equal to the rate of change of magnetic flux linkage through the circuit","Inversely proportional to the resistance of the circuit","Equal to the magnetic flux density","B","Correct: Faraday's law states EMF = −dΦ/dt = −N dΦ/dt for N turns, meaning the induced EMF equals the rate of change of magnetic flux linkage, with the negative sign representing Lenz's law. A is wrong because induced EMF depends on the rate of flux change, not on the current itself. C is wrong because resistance affects the current that flows once EMF is induced (I = EMF/R), but not the induced EMF itself. D is wrong because EMF is proportional to the RATE OF CHANGE of flux, not simply the flux density."
