"Question Number","Section","Topic","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation (Why Correct)","Why Other Options Are Wrong"
"61","Section B: Form and Functions","Digestion","Pepsin is an enzyme secreted in the stomach that is active at a pH of approximately","7-8 (slightly alkaline)","1-2 (highly acidic)","5-6 (slightly acidic)","9-10 (strongly alkaline)","B","Pepsin is a protease that functions optimally in the highly acidic environment of the stomach (pH 1-2), provided by hydrochloric acid secreted by gastric parietal cells.","A: Most intestinal enzymes work at a slightly alkaline pH (7-8), not pepsin. C: Some oral and intestinal enzymes work at mildly acidic pH, not pepsin. D: Strongly alkaline conditions would denature pepsin."
"62","Section B: Form and Functions","Photosynthesis","A student performs a photosynthesis experiment by covering part of a leaf with black paper, then tests it for starch. The covered section tests NEGATIVE for starch because","it received too much water","no light reached that section, so no photosynthesis occurred","the black paper blocked carbon dioxide entry","the section had no chlorophyll","B","Light is essential for the light-dependent reactions of photosynthesis, which produce ATP and NADPH used to fix CO2 into glucose (and then starch). Without light, photosynthesis cannot occur and starch is not produced.","A: Water availability was the same for both sections. C: CO2 enters through stomata — black paper does not prevent gas exchange. D: The leaf section has chlorophyll; the experiment only varies light exposure."
"63","Section B: Form and Functions","Circulation","The hepatic portal vein is important because it","carries oxygenated blood from the lungs to the heart","carries deoxygenated blood from the kidneys to the heart","carries absorbed nutrients from the small intestine directly to the liver","carries blood from the heart to the liver for detoxification","C","The hepatic portal vein transports blood rich in absorbed nutrients (glucose, amino acids, vitamins) from the small intestine to the liver, where the liver processes, stores, or regulates these nutrients.","A: Pulmonary veins carry oxygenated blood from lungs to the heart. B: Renal veins carry blood from kidneys to the inferior vena cava. D: The hepatic artery (from the aorta) carries oxygenated blood to the liver."
"64","Section B: Form and Functions","Plant Transport","Osmosis in the context of plant transport is best defined as","the movement of water molecules through a semi-permeable membrane from a region of higher water potential to a region of lower water potential","the active transport of ions against a concentration gradient","the bulk flow of water through xylem vessels due to transpiration pull","the movement of sucrose from phloem to cells by mass flow","A","Osmosis is the passive movement of water molecules across a selectively permeable (semi-permeable) membrane from a region of high water potential (dilute solution) to a region of low water potential (concentrated solution).","B: Active transport requires energy (ATP) and moves particles against concentration gradients. C: Transpiration pull is the cohesion-tension mechanism, a mass flow — not osmosis specifically. D: Mass flow in phloem involves pressure, not osmosis."
"65","Section B: Form and Functions","Blood","Which component of the blood is primarily responsible for clotting?","Erythrocytes","Leucocytes","Thrombocytes (platelets)","Plasma proteins only","C","Thrombocytes (platelets) are cell fragments that initiate the blood clotting (coagulation) cascade when blood vessels are damaged, releasing clotting factors and aggregating at the wound site.","A: Erythrocytes (red blood cells) carry oxygen via haemoglobin. B: Leucocytes (white blood cells) are involved in immune defence. D: Plasma proteins like fibrinogen are involved in clotting, but the initiating agent is platelets."
"66","Section B: Form and Functions","Plant Transport","Transpiration pull is the main mechanism responsible for","transport of sugars from leaves to roots","upward movement of water through xylem","absorption of mineral salts by active transport","root pressure development","B","As water evaporates from leaf cells (transpiration), it creates a tension (negative pressure) that pulls water columns upward through the xylem from the roots. This cohesion-tension mechanism is the primary driver of water ascent in tall trees.","A: Sugar transport from leaves occurs through phloem (pressure flow hypothesis). C: Mineral salt absorption by active transport is separate from transpiration pull. D: Root pressure is another mechanism but is relatively minor compared to transpiration pull."
"67","Section B: Form and Functions","Circulation","The pulmonary artery is unique among arteries because it carries","oxygenated blood to the lungs","deoxygenated blood to the lungs","oxygenated blood to the body tissues","deoxygenated blood to the kidneys","B","The pulmonary artery carries deoxygenated blood from the right ventricle to the lungs for oxygenation. It is the only artery in the adult body that carries deoxygenated blood.","A: This is the role of the pulmonary veins (returning oxygenated blood FROM the lungs). C: The aorta carries oxygenated blood to body tissues. D: Renal arteries supply the kidneys."
"68","Section B: Form and Functions","Osmosis","A cell placed in a solution that is hypertonic to the cell will","swell and may burst due to water entry by osmosis","lose water by osmosis and shrink (plasmolysis if a plant cell)","remain unchanged because osmosis is in equilibrium","gain water by active transport","B","In a hypertonic solution, the solute concentration outside the cell is higher (water potential is lower) than inside the cell. Water moves out of the cell by osmosis, causing it to shrink. In plant cells this is called plasmolysis.","A: Swelling occurs when a cell is placed in a hypotonic solution (lower solute concentration outside). C: No change (isotonic) occurs when concentrations are equal. D: Osmosis is passive; water does not move by active transport."
"69","Section B: Form and Functions","Circulation","The main function of lymph in the body is to","transport oxygen from lungs to tissues","return excess tissue fluid to the bloodstream and carry immune cells","transport digested fats from the small intestine via blood vessels","regulate blood pH through buffering","B","Lymph drains excess tissue fluid (interstitial fluid) back to the bloodstream via lymphatic vessels. It also carries lymphocytes (immune cells) and absorbs digested fats from lacteals in the small intestine.","A: Oxygen is transported by haemoglobin in red blood cells. C: Fat absorption from lacteals enters the lymphatic system (as chyle) before entering blood — lymph is involved, but the answer about 'blood vessels' specifically is imprecise. D: Blood pH buffering is primarily by bicarbonate ions and haemoglobin."
"70","Section B: Form and Functions","Plant Transport","The sieve tube elements and companion cells are components of","xylem","phloem","cambium","cortex parenchyma","B","Phloem tissue consists of sieve tube elements (for transport of photosynthates) and companion cells (which support sieve tubes with metabolic functions). Phloem transports sugars from source to sink by mass flow.","A: Xylem contains vessel elements, tracheids, xylem parenchyma, and xylem fibres — not sieve tubes. C: Cambium is a meristematic tissue producing xylem and phloem. D: Cortex parenchyma are storage cells."
"71","Section B: Form and Functions","Respiration","Anaerobic respiration in yeast produces","carbon dioxide and water","lactic acid only","ethanol and carbon dioxide","ethanol and water","C","During anaerobic fermentation by yeast: Glucose → Ethanol + Carbon dioxide. This is used in brewing and baking. (In muscles, anaerobic respiration produces lactic acid.)","A: CO2 and water are products of aerobic respiration. B: Lactic acid is produced by animal muscle cells (and some bacteria) during anaerobic respiration. D: Ethanol is correct, but the second product is CO2, not water."
"72","Section B: Form and Functions","Respiration","The net gain of ATP molecules from glycolysis alone (without Krebs cycle or oxidative phosphorylation) is","36-38 ATP","2 ATP","4 ATP","12 ATP","B","Glycolysis converts one glucose into two pyruvates with a net gain of 2 ATP (4 are produced, 2 are consumed for activation). This occurs in the cytoplasm without oxygen.","A: 36-38 ATP is the total yield from complete aerobic respiration. C: 4 ATP are produced but 2 are consumed, so net = 2. D: 12 ATP is not the glycolysis yield."
"73","Section B: Form and Functions","Respiration","During vigorous exercise, muscles respire anaerobically. The compound that accumulates, causing muscle fatigue, is","pyruvate","ethanol","lactic acid","carbonic acid","C","When muscles lack sufficient oxygen, pyruvate is converted to lactic acid (lactate) by lactate dehydrogenase. Accumulation of lactic acid lowers muscle pH, inhibits enzyme activity, and causes the burning sensation and fatigue.","A: Pyruvate is an intermediate converted to lactic acid. B: Ethanol is produced by yeast, not human muscle cells. D: Carbonic acid forms from CO2 and water in blood — it is involved in CO2 transport, not muscle fatigue."
"74","Section B: Form and Functions","Respiration","Which of the following is NOT a respiratory surface in living organisms?","Alveoli in mammals","Gills in fish","Stomata in plants","Loop of Henle in mammals","D","The Loop of Henle is a part of the nephron in the kidney involved in concentrating urine (osmoregulation). It is not a respiratory surface. Alveoli, gills, stomata, lenticels, and body surfaces are all respiratory surfaces.","A: Alveoli are the gas exchange surfaces in mammalian lungs. B: Gills are the respiratory surfaces in aquatic animals. C: Stomata are the entry/exit points for gases in photosynthesis and respiration in leaves."
"75","Section B: Form and Functions","Respiration","The Krebs cycle (citric acid cycle) occurs in the","cytoplasm of the cell","matrix of the mitochondrion","inner membrane of the mitochondrion","nucleus of the cell","B","The Krebs cycle occurs in the mitochondrial matrix. Acetyl-CoA enters the cycle, which produces NADH, FADH2, CO2, and a small amount of ATP per turn.","A: Glycolysis occurs in the cytoplasm. C: The electron transport chain and oxidative phosphorylation occur on the inner mitochondrial membrane (cristae). D: The nucleus does not carry out respiration."
"76","Section B: Form and Functions","Respiration","In plants, gaseous exchange during respiration occurs primarily through","root hair cells","lenticels and stomata","the waxy cuticle of the leaf","the xylem vessels","B","Plants exchange gases (O2 and CO2) through stomata in leaves and young stems, and through lenticels in older woody stems and roots. These are openings that allow diffusion of gases.","A: Root hair cells absorb water and minerals, not primarily involved in gas exchange. C: The waxy cuticle is waterproof and impermeable to gases. D: Xylem transports water, not gases."
"77","Section B: Form and Functions","Plant Physiology","The opening of stomata is driven by","loss of turgor in guard cells","increased turgor pressure in guard cells due to water uptake","accumulation of starch in guard cells","decrease in CO2 concentration in guard cells at night","B","When guard cells absorb water by osmosis (driven by K+ ion uptake), their turgor pressure increases. Due to the uneven thickening of their walls, they bend outward, opening the stomatal pore.","A: Loss of turgor causes stomatal closure, not opening. C: Starch → sugar conversion (not accumulation of starch) lowers water potential in guard cells promoting water uptake. D: CO2 decreases during the day (photosynthesis uses it), which is actually a signal for stomatal opening; at night CO2 rises and stomata close."
"78","Section B: Form and Functions","Respiration","Which of the following observations would demonstrate that yeast cells respire anaerobically?","Yeast cells consume oxygen in a sealed container","A glucose-yeast mixture produces bubbles of CO2 and turns lime water milky","Yeast cells increase in size over time","Yeast cells produce heat only","B","Anaerobic fermentation by yeast produces CO2 (detected by turning limewater milky) and ethanol. This confirms anaerobic respiration. The absence of oxygen requirement confirms it is anaerobic.","A: Consuming oxygen would indicate aerobic respiration. C: Increase in size indicates growth, not specifically respiration type. D: Heat is produced in aerobic respiration; alone, it does not confirm anaerobic fermentation."
"79","Section B: Form and Functions","Excretion","The functional unit of the kidney is the","nephron","Bowman's capsule","ureter","glomerulus","A","The nephron is the structural and functional unit of the kidney. Each kidney contains about one million nephrons. It consists of the Bowman's capsule, glomerulus, proximal convoluted tubule, Loop of Henle, and distal convoluted tubule.","B: The Bowman's capsule is part of the nephron but not the complete functional unit. C: The ureter is the tube that carries urine from the kidney to the bladder. D: The glomerulus is a capillary network within the Bowman's capsule — part of the nephron."
"80","Section B: Form and Functions","Excretion","The process by which small molecules are forced from the glomerulus into the Bowman's capsule is called","active transport","ultrafiltration","selective reabsorption","tubular secretion","B","Ultrafiltration occurs under high hydrostatic pressure in the glomerular capillaries. Small molecules (glucose, urea, water, ions) are forced into the Bowman's capsule, while large molecules (proteins, blood cells) are retained.","A: Active transport requires energy; ultrafiltration is driven by blood pressure. C: Selective reabsorption occurs in the renal tubules, returning useful substances to blood. D: Tubular secretion moves substances from blood into the tubule lumen (the reverse direction)."
"81","Section B: Form and Functions","Excretion","The main nitrogenous excretory product in mammals is","uric acid","ammonia","urea","creatinine","C","Mammals excrete urea as the primary nitrogenous waste. Urea is synthesised in the liver via the urea (ornithine) cycle from the deamination of excess amino acids. It is less toxic and less water-soluble than ammonia.","A: Uric acid is the main excretory product in birds, reptiles, and insects. B: Ammonia is the excretory product of fish (aquatic organisms); it is highly toxic. D: Creatinine is a minor excretory product from muscle creatine metabolism."
"82","Section B: Form and Functions","Excretion","The Malpighian tubule is an excretory structure found in","earthworms","insects","fish","amphibians","B","Malpighian tubules are the excretory organs of insects (and some other arthropods). They extract waste from haemolymph and empty it into the hindgut, producing uric acid as waste.","A: Earthworms excrete through nephridia. C: Fish excrete through kidneys and gills (mainly as ammonia). D: Amphibians use kidneys."
"83","Section B: Form and Functions","Excretion","Which of the following is an excretory product of plants?","Glucose","Oxygen (produced in excess during photosynthesis)","Carbon dioxide","Both B and C","D","Plants release oxygen as a by-product of photosynthesis (released through stomata) and carbon dioxide as a by-product of respiration. Both are metabolic waste products in excess. Tannins, resins, and gums are also plant excretory products stored in tissues.","A: Glucose is a product of photosynthesis and is used in metabolism — it is not a waste product. B alone or C alone is incomplete — both are correct, making D the best answer."
"84","Section B: Form and Functions","Excretion","Selective reabsorption in the kidney ensures that","all filtered substances are permanently lost in urine","useful substances like glucose and amino acids are returned to the blood","all filtered proteins are reabsorbed into the tubules","urea is completely reabsorbed to prevent its loss","B","After ultrafiltration, the filtrate passes through the renal tubules where useful substances — glucose, amino acids, vitamins, and most water — are selectively reabsorbed back into the surrounding blood capillaries. Waste products like urea remain.","A: If all substances were lost in urine, the body would lose essential molecules. C: Proteins are too large to be filtered in the first place. D: Urea is a waste product and is intentionally excreted; only a small proportion is reabsorbed."
"85","Section B: Form and Functions","Excretion","The contractile vacuole in Amoeba functions to","digest food particles","expel excess water from the cell to maintain osmotic balance","store food reserves","produce new organelles during cell division","B","Amoeba lives in freshwater (hypotonic environment), so water constantly enters by osmosis. The contractile vacuole collects excess water and expels it out of the cell (osmoregulation/excretion).","A: Digestion occurs in food vacuoles (phagosomes), not the contractile vacuole. C: Food storage occurs in food vacuoles. D: Organelle production is not the function of the contractile vacuole."
"86","Section B: Form and Functions","Plant Physiology","Positive phototropism in plant shoots means that shoots","grow away from light","grow toward the source of light","grow downward in response to gravity","close their leaves at night","B","Positive phototropism is growth toward light. Auxins (IAA) accumulate on the shaded side of the shoot, causing greater elongation there, bending the shoot toward the light source.","A: Growing away from light is negative phototropism. C: Growing downward in response to gravity is positive geotropism (gravitropism). D: Leaf movement at night (nyctinasty) is a nastic movement, not tropism."
"87","Section B: Form and Functions","Plant Physiology","Auxins promote plant cell elongation when present at which concentration?","Very high concentrations in all tissues","Low to moderate concentrations in shoots","Very high concentrations in roots","Zero concentration only","B","Auxins stimulate cell elongation in shoots at low to moderate concentrations. At high concentrations, however, auxins inhibit growth (especially in roots, which are very sensitive).","A: Very high concentrations actually inhibit growth. C: Very high concentrations inhibit root growth — roots are far more sensitive to auxins than shoots. D: Zero concentration would result in no auxin effect."
"88","Section B: Form and Functions","Plant Physiology","The role of auxins in apical dominance is to","promote lateral bud growth","inhibit lateral bud growth, maintaining a dominant main stem","stimulate root hair elongation","accelerate fruit ripening","B","High auxin concentrations produced by the apical meristem (shoot tip) diffuse downward and inhibit the growth of lateral (axillary) buds, a phenomenon called apical dominance. Removing the tip allows lateral buds to grow.","A: Auxins inhibit lateral buds — promoting them requires lower auxin levels after tip removal. C: Root hair elongation involves auxins at very low concentrations. D: Fruit ripening is mainly regulated by ethylene."
"89","Section B: Form and Functions","Human Anatomy","Which type of joint allows movement in all planes (ball-and-socket joint)?","The elbow joint","The knee joint","The hip joint","The ankle joint","C","The hip (and shoulder) are ball-and-socket joints that allow movement in all directions — flexion/extension, abduction/adduction, and rotation (multi-axial movement).","A: The elbow is a hinge joint — allows flexion and extension only. B: The knee is primarily a hinge joint with limited rotation. D: The ankle is a hinge joint."
"90","Section B: Form and Functions","Animal Anatomy","The exoskeleton of insects is made of","calcium carbonate","chitin","keratin","collagen","B","The exoskeleton (cuticle) of insects and other arthropods is composed primarily of chitin — a polysaccharide — along with proteins. It is hard, waterproof, and protective.","A: Calcium carbonate is found in mollusk shells and some crustacean exoskeletons. C: Keratin is the fibrous protein in vertebrate hair, nails, and skin. D: Collagen is a structural protein in connective tissue."
"91","Section B: Form and Functions","Plant Reproduction","The process by which a pollen grain grows a tube to deliver male gametes to the ovule is called","pollination","fertilisation","germination","pollen tube growth / siphonogamy","D","After pollination, the pollen grain germinates on the stigma and grows a pollen tube (siphonogamy) down through the style to the ovule, delivering two male gametes — one fertilises the egg, the other fuses with polar nuclei (double fertilisation in angiosperms).","A: Pollination is merely the transfer of pollen to the stigma, before tube growth. B: Fertilisation is the fusion of gametes — it occurs at the end of pollen tube growth. C: Germination refers to seed or spore sprouting, not pollen tube growth."
"92","Section B: Form and Functions","Plant Reproduction","Double fertilisation in angiosperms results in the formation of","two seeds","a zygote and endosperm","two zygotes","a seed coat and embryo only","B","In angiosperms, one male gamete fuses with the egg cell to form the zygote (→ embryo), while the second male gamete fuses with the two polar nuclei to form the triploid (3n) primary endosperm nucleus (→ endosperm, food for the embryo).","A: One fertilisation event produces one seed. C: Double fertilisation produces one zygote and one endosperm nucleus — not two zygotes. D: The seed coat develops from the integuments independently."
"93","Section B: Form and Functions","Plant Reproduction","An advantage of cross-pollination over self-pollination is that it","guarantees fertilisation even without pollinators","produces genetically uniform offspring","promotes genetic variation in offspring","requires less energy from the parent plant","C","Cross-pollination involves pollen from a different plant of the same species, introducing new gene combinations. This increases genetic diversity in offspring, which is advantageous for adaptation and natural selection.","A: Self-pollination guarantees fertilisation without pollinators; cross-pollination depends on vectors. B: Genetic uniformity is a result of self-pollination, not cross-pollination. D: Cross-pollination often requires energy expenditure on attracting pollinators (colour, scent, nectar)."
"94","Section B: Form and Functions","Plant Reproduction","In epigeal germination, the cotyledons","remain below the soil surface","are pushed above the soil surface by the elongating hypocotyl","provide no nutritional support to the seedling","develop into the first true leaves","B","In epigeal germination (e.g. beans), the hypocotyl elongates and pulls the cotyledons above the soil surface where they become green and photosynthetic temporarily. The epicotyl then grows upward with the first true leaves.","A: Cotyledons remaining below the soil describes hypogeal germination (e.g. maize, peas). C: Cotyledons contain stored food (starch, oils, proteins) that nourishes the growing seedling. D: The cotyledons in epigeal germination may photosynthesize briefly but are not the first true leaves — those emerge from the epicotyl."
"95","Section B: Form and Functions","Plant Reproduction","Which of the following conditions is NOT necessary for seed germination?","Adequate water (moisture)","Suitable temperature","Presence of light (in all seeds)","Availability of oxygen","C","Most seeds do not require light for germination — they germinate in darkness (e.g. buried in soil). While some seeds (like lettuce) are light-sensitive, light is NOT a universal requirement for germination. Water, temperature, and oxygen are universally required.","A: Water activates enzymes and is essential for germination metabolism. B: Suitable temperature activates enzymes for metabolic processes. D: Oxygen is needed for aerobic respiration to provide energy for germination."
"96","Section B: Form and Functions","Hormones","Which hormone is responsible for the 'fight or flight' response in mammals?","Insulin","Thyroxine","Adrenaline (epinephrine)","Oestrogen","C","Adrenaline (produced by the adrenal medulla) is the 'fight or flight' hormone. It increases heart rate, dilates pupils, promotes glycogen breakdown to glucose, and prepares the body for rapid action under stress.","A: Insulin lowers blood glucose levels; it is not involved in fight or flight. B: Thyroxine regulates metabolic rate — a slower, long-term effect. D: Oestrogen is a female sex hormone involved in reproductive processes."
"97","Section B: Form and Functions","Homeostasis","The process of homeostasis in the body involves","increasing deviation from the normal set point to maximise adaptation","maintaining a constant internal environment through negative feedback mechanisms","eliminating all variation in body function","only regulating blood glucose levels","B","Homeostasis is the maintenance of a stable internal environment (temperature, pH, glucose, water) through negative feedback — where a deviation from the set point triggers a corrective response to restore balance.","A: Homeostasis reduces, not increases, deviation from the set point. C: Homeostasis maintains conditions within a narrow range, not absolutely constant. D: Homeostasis encompasses many variables, not just blood glucose."
"98","Section B: Form and Functions","Hormones","The role of insulin in blood glucose regulation is to","stimulate the liver to convert glycogen to glucose (glycogenolysis)","promote uptake of glucose by cells and conversion to glycogen, lowering blood glucose","increase glucagon secretion from the pancreas","stimulate protein breakdown into glucose","B","Insulin (from beta cells of islets of Langerhans in the pancreas) is released when blood glucose rises. It promotes glucose uptake by cells, glycogen synthesis (glycogenesis) in the liver, and lowers blood glucose levels.","A: Conversion of glycogen to glucose (glycogenolysis) is stimulated by glucagon (not insulin). C: Insulin and glucagon have antagonistic effects — insulin does not increase glucagon. D: Gluconeogenesis (protein → glucose) is stimulated by glucocorticoids, not insulin."
"99","Section B: Form and Functions","Nervous System","In the mammalian nervous system, the junction between two neurons is called a","dendrite","axon","synapse","myelin sheath","C","A synapse is the gap (synaptic cleft) between two neurons (or a neuron and effector) where neurotransmitters are released from the presynaptic membrane to bind receptors on the postsynaptic membrane, transmitting the nerve impulse.","A: Dendrites are branching processes that receive impulses from other neurons. B: The axon is the long fibre that transmits impulses away from the cell body. D: The myelin sheath is an insulating layer around some axons that speeds up impulse conduction."
"100","Section B: Form and Functions","Nervous System","Which of the following is an example of a reflex action?","Writing an essay","Playing a musical instrument","Withdrawing a hand from a hot object","Choosing what to eat","C","A reflex action is an automatic, involuntary, rapid response to a stimulus not requiring conscious thought. Withdrawing from pain (pain withdrawal reflex) is a classic spinal reflex arc.","A: Writing an essay involves conscious, voluntary thought. B: Playing an instrument requires learned voluntary motor control (though some become semi-automatic — conditioned reflex). D: Food choice involves decision-making in the cerebral cortex."
"101","Section C: Ecology","Abiotic Factors","Which of the following abiotic factors most directly determines the distribution of aquatic organisms?","Interspecific competition","Turbidity and dissolved oxygen levels","Predation pressure","Reproductive rate","B","Turbidity (water clarity) affects light penetration and photosynthesis, while dissolved oxygen levels determine which organisms can survive in that water body. These are key abiotic factors controlling aquatic species distribution.","A: Interspecific competition is a biotic factor. C: Predation is a biotic factor. D: Reproductive rate is a biological trait, not an abiotic environmental factor."
"102","Section C: Ecology","Food Chains","A food chain best represents","the recycling of nutrients in an ecosystem","the linear sequence of feeding relationships showing energy flow from producers to consumers","competition between organisms for the same resources","the total number of organisms in an ecosystem","B","A food chain is a linear sequence showing who eats whom: Producer → Primary consumer → Secondary consumer → Tertiary consumer, representing the flow of energy and matter.","A: Nutrient recycling is represented by biogeochemical cycles (nitrogen, carbon cycles). C: Competition is represented by ecological interactions, not food chains. D: Total organism numbers relate to population size or biomass."
"103","Section C: Ecology","Carbon Cycle","In the carbon cycle, the process by which green plants remove CO2 from the atmosphere is","decomposition","photosynthesis","respiration","combustion","B","Photosynthesis is the process by which autotrophs (green plants, algae) absorb CO2 from the atmosphere and fix it into organic compounds using light energy.","A: Decomposition releases CO2 back into the atmosphere. C: Respiration also releases CO2. D: Combustion (burning) of fossil fuels and biomass releases CO2 into the atmosphere."
"104","Section C: Ecology","Decomposers","Organisms that feed on dead and decaying organic matter, releasing nutrients back into the soil, are called","parasites","commensals","decomposers","primary consumers","C","Decomposers (bacteria and fungi) break down dead organic matter, releasing inorganic nutrients (N, P, C) back into the soil and atmosphere for reuse by producers — completing nutrient cycles.","A: Parasites derive nutrients from living hosts, causing harm. B: Commensals benefit from a host without causing harm. D: Primary consumers eat producers (plants) — they are herbivores."
"105","Section C: Ecology","Symbiotic Relationships","The relationship between nitrogen-fixing bacteria (Rhizobium) and leguminous plants is best described as","parasitism","commensalism","mutualism","amensalism","C","Rhizobium bacteria live in root nodules of legumes. The bacteria fix atmospheric nitrogen into usable forms for the plant; the plant provides organic carbon and shelter for the bacteria. Both benefit — this is mutualism.","A: Parasitism involves one organism harming the host. B: Commensalism benefits only one organism while the other is unaffected. D: Amensalism is when one organism inhibits another without benefit or harm to itself."
"106","Section C: Ecology","Energy Flow","Which trophic level in a food chain contains the most energy?","Tertiary consumers","Secondary consumers","Primary consumers","Producers","D","Producers (green plants) contain the most energy in a food chain because they are the first level and capture solar energy through photosynthesis. Energy decreases at each higher trophic level (only ~10% is transferred).","A: Tertiary consumers are at the top — they have the least energy. B: Secondary consumers have less energy than primary consumers. C: Primary consumers have less energy than producers."
"107","Section C: Ecology","Nitrogen Cycle","The nitrogen cycle in nature involves which of the following processes?","Photosynthesis and respiration only","Nitrogen fixation, nitrification, denitrification, and ammonification","Combustion and precipitation","Transpiration and evaporation","B","The nitrogen cycle involves: fixation (N2 → ammonia by bacteria/lightning), nitrification (ammonia → nitrites → nitrates), assimilation (plants absorb nitrates), ammonification (decomposition of proteins → ammonia), and denitrification (nitrates → N2).","A: Photosynthesis/respiration are part of the carbon cycle. C: Combustion involves carbon/sulfur cycles. D: Transpiration and evaporation are part of the water cycle."
"108","Section C: Ecology","Population Ecology","Population density is best expressed as","the total number of organisms in an ecosystem","the number of organisms per unit area","the rate of reproduction per year","the ratio of males to females in a population","B","Population density = number of individuals / unit area (or unit volume). It tells how crowded a population is in a given habitat.","A: Total number doesn't account for space. C: Reproduction rate is the birth rate, not density. D: Sex ratio is a demographic metric, not density."
"109","Section C: Ecology","Succession","The sequence of community changes over time, from bare rock to a climax community, is called","secondary succession","primary succession","ecological zonation","niche differentiation","B","Primary succession begins on bare, uninhabited substrate (bare rock, sand dune) and progresses through pioneer species → intermediate communities → stable climax community over long time periods.","A: Secondary succession occurs in areas where a community was destroyed but soil still exists. C: Ecological zonation is the spatial distribution of species along environmental gradients. D: Niche differentiation reduces competition between species."
"110","Section C: Ecology","Biomes","Which biome is characterised by high rainfall (>2000mm/year), dense canopy, high biodiversity, and warm temperatures year-round?","Sudan Savanna","Tropical Rainforest","Desert","Guinea Savanna","B","Tropical rainforests receive very high annual rainfall (>2000mm), have a dense multi-layered canopy, maintain warm temperatures throughout the year, and support the highest biodiversity of any biome.","A: Sudan Savanna has lower rainfall and more pronounced dry seasons. C: Deserts have very low rainfall (<250mm/year). D: Guinea Savanna (derived savanna) has a wet and dry season with moderate rainfall."
"111","Section C: Ecology","Ecological Tools","A Secchi disc is used in ecological studies to measure","soil pH","wind speed","water turbidity","relative humidity","C","A Secchi disc is a circular disc (usually black and white) lowered into water. The depth at which it disappears from view gives the Secchi depth — a measure of water clarity (turbidity).","A: Soil pH is measured with pH meter or indicator paper. B: Wind speed is measured with an anemometer. D: Relative humidity is measured with a hygrometer."
"112","Section C: Ecology","Population Interactions","Predation in an ecosystem plays an important ecological role by","reducing species diversity in the ecosystem","regulating prey population sizes and maintaining ecosystem balance","increasing the amount of energy available at the producer level","causing the extinction of prey species","B","Predators control prey populations, preventing overpopulation that would exhaust food resources. This maintains ecosystem balance and often supports species diversity (by preventing one species from dominating).","A: Predation can maintain or increase diversity (by keeping dominant species in check). C: Predation doesn't add energy to producers. D: Predation rarely causes extinction; it is an adaptive evolutionary relationship."
"113","Section C: Ecology","Biomes","The guinea savanna in Nigeria is characterised by","permanent snow and ice","grassland with scattered trees and seasonal rainfall","dense continuous tree canopy and no grass layer","sand dunes and very low annual rainfall","B","Guinea savanna (northern and southern) features tall grasses, scattered trees (e.g. Isoberlinia, Vitex), and a distinct wet and dry season. It supports wildlife such as antelopes, lions, and elephants.","A: Snow/ice characterises polar/alpine biomes. C: Dense canopy with no grass layer describes tropical rainforest. D: Sand dunes and low rainfall describe deserts."
"114","Section C: Ecology","Water Cycle","In the water cycle, the process by which water vapour condenses from the atmosphere to form clouds is","evapotranspiration","condensation","precipitation","infiltration","B","Condensation is the cooling of water vapour to form liquid water droplets that make up clouds. When droplets aggregate and become heavy enough, they fall as precipitation.","A: Evapotranspiration is evaporation from surfaces plus transpiration from plants — it returns water to the atmosphere. C: Precipitation is when condensed water falls as rain, snow, or hail. D: Infiltration is the movement of water into the soil."
"115","Section C: Ecology","Population Ecology","Biotic factors affecting population size include","temperature, rainfall, and pH","food availability, disease, predation, and competition","altitude, wind speed, and soil type","light intensity and water turbidity","B","Biotic factors are living influences on population size: food (competition for resources), disease (caused by pathogens), predation (removal of individuals), and competition (inter- and intraspecific).","A: Temperature, rainfall, and pH are abiotic factors. C: Altitude, wind, and soil are abiotic. D: Light intensity and turbidity are abiotic environmental factors."
"116","Section C: Ecology","Food Webs","In the food web of a freshwater pond: phytoplankton → water flea → small fish → large fish → osprey. If the small fish population is drastically reduced by disease, the most likely effect is","increase in large fish and decrease in water fleas","decrease in large fish and increase in water fleas","no effect on the food web","immediate extinction of phytoplankton","B","Removing small fish removes prey for large fish (their population decreases due to less food) and reduces predation pressure on water fleas (their population increases). This shows trophic cascade effects.","A: Large fish would decrease (less food), and water fleas would increase (less predation). C: Food webs are interconnected — any change has cascading effects. D: Phytoplankton are the producers; they would actually increase as water fleas increase (more grazing) or the relationship is indirect."
"117","Section C: Ecology","Soil Conservation","Contour ridging as a soil conservation practice primarily prevents","leaching of nutrients","wind erosion of topsoil","water erosion by reducing surface runoff on slopes","soil compaction by heavy machinery","C","Contour ridges (ridges dug along the contours of a slope) slow down surface water runoff, allowing it to infiltrate the soil and preventing erosive washing away of topsoil on slopes.","A: Leaching (downward movement of nutrients with water) is reduced by better water management but not specifically by contour ridging. B: Wind erosion is reduced by windbreaks (shelterbelts), not ridges. D: Compaction is addressed by reducing machine use or subsoiling."
